#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name                        accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- -----              -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A2G1BRD4_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.1e-18   65.4   0.4   1   1   1.3e-18   1.3e-18   65.2   0.4     1   137     1   136     1   144 0.95 -
A0A4Y6I911_class_2_c1_domain -            136 kari_class_1_swissprot_c1_domains -            146   1.3e-18   65.2   0.0   1   1   1.4e-18   1.4e-18   65.1   0.0     1   134     1   133     1   136 0.95 -
A0A354GG41_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.3e-18   65.2   0.1   1   1   1.6e-18   1.6e-18   65.0   0.1     1   135     1   134     1   143 0.95 -
A0A5C0ZHF6_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.3e-18   65.2   0.1   1   1   1.6e-18   1.6e-18   64.9   0.1     1   135     1   134     1   138 0.95 -
A0A497YYE2_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.4e-18   65.1   0.2   1   1   1.6e-18   1.6e-18   64.9   0.2     1   137     1   136     1   144 0.95 -
A0A4R1ACS4_class_2_c1_domain -            134 kari_class_1_swissprot_c1_domains -            146   1.4e-18   65.1   0.0   1   1   1.6e-18   1.6e-18   65.0   0.0     1   134     1   133     1   134 0.95 -
A0A1M5MD81_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.5e-18   65.1   0.0   1   1   1.7e-18   1.7e-18   64.8   0.0     1   135     1   134     1   142 0.96 -
A0A545TD42_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.5e-18   65.0   0.2   1   1   1.8e-18   1.8e-18   64.8   0.2     1   134     1   133     1   136 0.96 -
A0A1L7HZX4_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.5e-18   65.0   0.5   1   1   1.8e-18   1.8e-18   64.8   0.5     1   137     1   136     1   144 0.95 -
A0A1H1L0T5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.5e-18   65.0   0.3   1   1   1.8e-18   1.8e-18   64.8   0.3     1   138     1   137     1   144 0.95 -
A0A2G2KF12_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.6e-18   64.9   0.2   1   1   1.9e-18   1.9e-18   64.7   0.2     1   135     1   134     1   143 0.95 -
A0A553DSN0_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.7e-18   64.8   0.1   1   1   2.1e-18   2.1e-18   64.6   0.1     1   135     1   134     1   143 0.96 -
A0A2D8KS36_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.9e-18   64.7   0.3   1   1   2.2e-18   2.2e-18   64.5   0.3     1   137     1   136     1   144 0.95 -
A0A7Y6ZN44_class_2_c1_domain -            135 kari_class_1_swissprot_c1_domains -            146   2.1e-18   64.6   0.1   1   1   2.3e-18   2.3e-18   64.4   0.1     1   134     1   133     1   135 0.96 -
A0A7J5AQR6_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   2.1e-18   64.5   0.2   1   1   2.6e-18   2.6e-18   64.2   0.2     1   137     1   136     1   142 0.96 -
A0A7L4ZMB0_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   2.2e-18   64.5   0.1   1   1   2.4e-18   2.4e-18   64.3   0.1     1   142     1   141     1   145 0.95 -
A0A0D5YX31_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   2.3e-18   64.4   0.0   1   1   2.7e-18   2.7e-18   64.2   0.0     1   135     1   134     1   139 0.95 -
A0A2E3S7X5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   2.3e-18   64.4   0.0   1   1   2.7e-18   2.7e-18   64.2   0.0     1   135     1   134     1   139 0.95 -
A0A2S9J986_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   2.3e-18   64.4   0.0   1   1   2.7e-18   2.7e-18   64.2   0.0     1   135     1   134     1   139 0.96 -
A0A3N0E2T8_class_2_c1_domain -            134 kari_class_1_swissprot_c1_domains -            146   2.3e-18   64.4   0.1   1   1   2.5e-18   2.5e-18   64.3   0.1     1   134     1   133     1   134 0.95 -
K2PTS3_class_2_c1_domain     -            145 kari_class_1_swissprot_c1_domains -            146   2.3e-18   64.4   0.1   1   1   2.7e-18   2.7e-18   64.2   0.1     1   135     1   134     1   142 0.95 -
A0A4V3D316_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   2.4e-18   64.4   0.3   1   1   2.7e-18   2.7e-18   64.2   0.3     1   137     1   136     1   144 0.95 -
A0A1M5FU06_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   2.6e-18   64.2   0.4   1   1     3e-18     3e-18   64.0   0.4     1   137     1   136     1   144 0.95 -
A0A366B2V5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     3e-18   64.0   0.0   1   1   3.6e-18   3.6e-18   63.8   0.0     1   135     1   134     1   143 0.95 -
A0A3E0HFZ5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     3e-18   64.0   0.3   1   1   3.6e-18   3.6e-18   63.8   0.3     1   137     1   136     1   144 0.95 -
A0A8J3BFR9_class_2_c1_domain -            135 kari_class_1_swissprot_c1_domains -            146   3.1e-18   64.0   0.0   1   1   3.4e-18   3.4e-18   63.9   0.0     1   134     1   133     1   135 0.95 -
A0A329MYQ1_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   3.1e-18   64.0   0.1   1   1   3.8e-18   3.8e-18   63.7   0.1     1   135     1   134     1   137 0.95 -
A0A6L5NX60_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   3.1e-18   64.0   0.1   1   1   3.7e-18   3.7e-18   63.7   0.1     1   134     1   133     1   137 0.96 -
A0A1M5I6K4_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   3.1e-18   64.0   0.0   1   1   3.8e-18   3.8e-18   63.7   0.0     1   135     1   134     1   140 0.95 -
A0A3M8GFZ6_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   3.2e-18   63.9   0.1   1   1   3.8e-18   3.8e-18   63.7   0.1     1   135     1   134     1   142 0.95 -
I3CA28_class_2_c1_domain     -            145 kari_class_1_swissprot_c1_domains -            146   3.3e-18   63.9   0.0   1   1     4e-18     4e-18   63.6   0.0     1   135     1   134     1   139 0.95 -
A0A6H2FBR5_class_2_c1_domain -            137 kari_class_1_swissprot_c1_domains -            146   3.4e-18   63.9   0.1   1   1   3.7e-18   3.7e-18   63.7   0.1     1   136     1   135     1   137 0.95 -
A0A542AVI3_class_2_c1_domain -            136 kari_class_1_swissprot_c1_domains -            146   3.5e-18   63.8   0.3   1   1   3.8e-18   3.8e-18   63.7   0.3     1   136     1   135     1   136 0.97 -
A0A1Z9NA50_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   3.7e-18   63.8   0.1   1   1   4.3e-18   4.3e-18   63.5   0.1     1   135     1   134     1   142 0.94 -
A0A1H4VGZ2_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   3.8e-18   63.7   0.3   1   1   4.2e-18   4.2e-18   63.6   0.3     1   140     1   139     1   145 0.94 -
A0A0Q5NCJ4_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   3.8e-18   63.7   0.3   1   1   4.6e-18   4.6e-18   63.4   0.3     1   135     1   134     1   138 0.95 -
A0A420E283_class_2_c1_domain -            134 kari_class_1_swissprot_c1_domains -            146   3.9e-18   63.7   0.2   1   1   4.3e-18   4.3e-18   63.5   0.2     1   134     1   133     1   134 0.96 -
M4ULZ5_class_2_c1_domain     -            145 kari_class_1_swissprot_c1_domains -            146     4e-18   63.6   0.0   1   1   4.9e-18   4.9e-18   63.4   0.0     1   135     1   134     1   137 0.96 -
A0A519U6H8_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.3e-18   63.5   0.4   1   1     5e-18     5e-18   63.3   0.4     1   136     1   135     1   143 0.95 -
A0A4R2FHV8_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.7e-18   63.4   0.1   1   1   5.5e-18   5.5e-18   63.2   0.1     1   134     1   133     1   137 0.95 -
A0A4D6YGJ9_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.7e-18   63.4   0.2   1   1   5.3e-18   5.3e-18   63.2   0.2     1   137     1   136     1   144 0.94 -
A0A7W8ZQZ8_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.8e-18   63.4   0.1   1   1   5.8e-18   5.8e-18   63.1   0.1     1   135     1   134     1   139 0.95 -
A0A0J0Y6X5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.9e-18   63.3   0.2   1   1   5.9e-18   5.9e-18   63.1   0.2     1   135     1   134     1   138 0.96 -
A0A0Q4L6A5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.9e-18   63.3   0.2   1   1   5.9e-18   5.9e-18   63.1   0.2     1   135     1   134     1   138 0.96 -
A0A0Q5TZ52_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.9e-18   63.3   0.2   1   1   5.9e-18   5.9e-18   63.1   0.2     1   135     1   134     1   138 0.96 -
A0A246AFY7_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.9e-18   63.3   0.2   1   1   5.9e-18   5.9e-18   63.1   0.2     1   135     1   134     1   138 0.96 -
A0A4Q3BMQ2_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.9e-18   63.3   0.2   1   1   5.9e-18   5.9e-18   63.1   0.2     1   135     1   134     1   138 0.96 -
A0A4R2HKU8_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.9e-18   63.3   0.2   1   1   5.9e-18   5.9e-18   63.1   0.2     1   135     1   134     1   138 0.96 -
A0A519VT85_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.9e-18   63.3   0.2   1   1   5.9e-18   5.9e-18   63.1   0.2     1   135     1   134     1   138 0.96 -
A0A519Y1G8_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.9e-18   63.3   0.2   1   1   5.9e-18   5.9e-18   63.1   0.2     1   135     1   134     1   138 0.96 -
A0A238UBC5_class_2_c1_domain -            136 kari_class_1_swissprot_c1_domains -            146     5e-18   63.3   0.0   1   1   5.5e-18   5.5e-18   63.2   0.0     1   136     1   135     1   136 0.96 -
A0A2G6F610_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     5e-18   63.3   0.6   1   1   5.6e-18   5.6e-18   63.2   0.6     1   140     1   139     1   145 0.94 -
A0A2G6LQ98_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     5e-18   63.3   0.6   1   1   5.6e-18   5.6e-18   63.2   0.6     1   140     1   139     1   145 0.94 -
A0A3B0TIU0_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.1e-18   63.3   0.2   1   1   5.9e-18   5.9e-18   63.1   0.2     1   135     1   134     1   143 0.95 -
A0A519WXH7_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.1e-18   63.3   0.1   1   1   6.1e-18   6.1e-18   63.0   0.1     1   135     1   134     1   139 0.96 -
A0A2K9K3E3_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.1e-18   63.3   0.1   1   1   5.9e-18   5.9e-18   63.1   0.1     1   134     1   133     1   142 0.95 -
A0A3Q8RRZ5_class_2_c1_domain -            134 kari_class_1_swissprot_c1_domains -            146   5.1e-18   63.3   0.1   1   1   5.7e-18   5.7e-18   63.1   0.1     1   134     1   133     1   134 0.96 -
A0A6G9JVA3_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.2e-18   63.3   0.2   1   1   6.2e-18   6.2e-18   63.0   0.2     1   135     1   134     1   143 0.95 -
A0A4Q6XT31_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.2e-18   63.3   0.0   1   1   6.3e-18   6.3e-18   63.0   0.0     1   135     1   134     1   139 0.96 -
A0A5D4HGJ8_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.2e-18   63.3   0.0   1   1   6.3e-18   6.3e-18   63.0   0.0     1   135     1   134     1   139 0.96 -
A0A1I3H0G0_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.3e-18   63.2   0.1   1   1   6.3e-18   6.3e-18   63.0   0.1     1   135     1   134     1   139 0.95 -
A0A562KYJ6_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.3e-18   63.2   0.0   1   1   6.4e-18   6.4e-18   63.0   0.0     1   135     1   134     1   139 0.95 -
A0A5S5DIU3_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.4e-18   63.2   0.0   1   1   6.5e-18   6.5e-18   63.0   0.0     1   135     1   134     1   139 0.96 -
A0A1I5AAA1_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.6e-18   63.2   0.1   1   1   6.5e-18   6.5e-18   62.9   0.1     1   138     1   137     1   144 0.94 -
A0A4R1LMS5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.8e-18   63.1   0.1   1   1   6.9e-18   6.9e-18   62.9   0.1     1   135     1   134     1   138 0.96 -
A0A7X8N9W2_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.9e-18   63.1   0.2   1   1     7e-18     7e-18   62.8   0.2     1   136     1   135     1   143 0.95 -
A0A420XFD8_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     6e-18   63.1   0.0   1   1     7e-18     7e-18   62.9   0.0     1   135     1   134     1   141 0.93 -
A0A6M1N4X5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   6.1e-18   63.0   0.0   1   1   7.3e-18   7.3e-18   62.8   0.0     1   135     1   134     1   138 0.96 -
T2KHY2_class_2_c1_domain     -            145 kari_class_1_swissprot_c1_domains -            146   6.1e-18   63.0   0.1   1   1   7.2e-18   7.2e-18   62.8   0.1     1   136     1   135     1   143 0.95 -
A0A1X9Z7M1_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   6.1e-18   63.0   0.2   1   1   7.4e-18   7.4e-18   62.8   0.2     1   135     1   134     1   138 0.96 -
A0A366KQ33_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   6.1e-18   63.0   0.2   1   1   7.4e-18   7.4e-18   62.8   0.2     1   135     1   134     1   138 0.96 -
A0A3G8WUZ5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   6.1e-18   63.0   0.2   1   1   7.4e-18   7.4e-18   62.8   0.2     1   135     1   134     1   138 0.96 -
A0A497Y469_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   6.1e-18   63.0   0.2   1   1   7.4e-18   7.4e-18   62.8   0.2     1   135     1   134     1   138 0.96 -
A0A7G9QBW2_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   6.1e-18   63.0   0.2   1   1   7.4e-18   7.4e-18   62.8   0.2     1   135     1   134     1   138 0.96 -
A0A7S9L2A2_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   6.1e-18   63.0   0.2   1   1   7.4e-18   7.4e-18   62.8   0.2     1   135     1   134     1   138 0.96 -
A0A4Y5YB09_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   6.6e-18   62.9   0.0   1   1   7.9e-18   7.9e-18   62.7   0.0     1   134     1   133     1   137 0.96 -
A0A4R2T245_class_2_c1_domain -            136 kari_class_1_swissprot_c1_domains -            146   6.6e-18   62.9   0.1   1   1   7.3e-18   7.3e-18   62.8   0.1     1   134     1   133     1   136 0.94 -
A0A4P7DS62_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   6.8e-18   62.9   0.0   1   1   8.1e-18   8.1e-18   62.6   0.0     1   135     1   134     1   138 0.96 -
A0A1G7T7U6_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     7e-18   62.8   0.2   1   1   8.5e-18   8.5e-18   62.6   0.2     1   135     1   134     1   138 0.96 -
A0A1K1PGJ5_class_2_c1_domain -            134 kari_class_1_swissprot_c1_domains -            146   7.1e-18   62.8   0.1   1   1   7.8e-18   7.8e-18   62.7   0.1     1   134     1   133     1   134 0.94 -
A0A243SG05_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   7.1e-18   62.8   0.0   1   1   8.3e-18   8.3e-18   62.6   0.0     1   135     1   134     1   143 0.94 -
A0A2E1APG0_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   7.1e-18   62.8   0.2   1   1   8.6e-18   8.6e-18   62.5   0.2     1   135     1   134     1   139 0.96 -
A0A0P0NCY7_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   7.3e-18   62.8   0.1   1   1   8.8e-18   8.8e-18   62.5   0.1     1   135     1   134     1   138 0.95 -
A0A3D1D6A4_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   7.4e-18   62.8   0.0   1   1   8.7e-18   8.7e-18   62.5   0.0     1   135     1   134     1   139 0.96 -
A0A4Q9V3Z4_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   7.4e-18   62.8   0.1   1   1   8.6e-18   8.6e-18   62.6   0.1     1   137     1   136     1   144 0.94 -
A0A1H5HSD5_class_2_c1_domain -            134 kari_class_1_swissprot_c1_domains -            146   7.4e-18   62.8   0.1   1   1   8.3e-18   8.3e-18   62.6   0.1     1   134     1   133     1   134 0.95 -
A0A4Q9H8U5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   7.4e-18   62.8   0.2   1   1   8.9e-18   8.9e-18   62.5   0.2     1   135     1   134     1   138 0.96 -
A0A5D8YL22_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   7.5e-18   62.7   0.0   1   1     9e-18     9e-18   62.5   0.0     1   135     1   134     1   138 0.96 -
A0A8F8L759_class_2_c1_domain -            139 kari_class_1_swissprot_c1_domains -            146   7.6e-18   62.7   0.1   1   1   8.3e-18   8.3e-18   62.6   0.1     2   137     1   135     1   139 0.94 -
A0A427SD09_class_2_c1_domain -            134 kari_class_1_swissprot_c1_domains -            146   7.6e-18   62.7   0.1   1   1   8.4e-18   8.4e-18   62.6   0.1     1   134     1   133     1   134 0.96 -
A0A2D6LS56_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   7.7e-18   62.7   0.2   1   1   9.1e-18   9.1e-18   62.5   0.2     1   135     1   134     1   143 0.93 -
A0A290TUQ9_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   7.9e-18   62.7   0.1   1   1   9.3e-18   9.3e-18   62.4   0.1     1   134     1   133     1   142 0.95 -
A0A558N9X3_class_2_c1_domain -            136 kari_class_1_swissprot_c1_domains -            146   7.9e-18   62.7   0.2   1   1     9e-18     9e-18   62.5   0.2     1   134     1   133     1   136 0.96 -
A0A2V4YFV8_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     8e-18   62.7   0.1   1   1   9.5e-18   9.5e-18   62.4   0.1     1   134     1   133     1   140 0.95 -
A0A2A2UWD7_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     8e-18   62.7   0.1   1   1   9.4e-18   9.4e-18   62.4   0.1     1   134     1   133     1   142 0.95 -
A0A2C6ECP1_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     8e-18   62.7   0.1   1   1   9.4e-18   9.4e-18   62.4   0.1     1   134     1   133     1   142 0.95 -
A0A8I2H2Y4_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     8e-18   62.7   0.1   1   1   9.4e-18   9.4e-18   62.4   0.1     1   134     1   133     1   142 0.95 -
A0A2T3HHL6_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     8e-18   62.6   0.1   1   1   9.7e-18   9.7e-18   62.4   0.1     1   135     1   134     1   138 0.95 -
A0A1S8ZUS1_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.1e-18   62.6   0.0   1   1   9.6e-18   9.6e-18   62.4   0.0     1   135     1   134     1   137 0.96 -
A0A3S9L9M1_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.1e-18   62.6   0.1   1   1   9.8e-18   9.8e-18   62.4   0.1     1   134     1   133     1   139 0.95 -
A0A516GMV3_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.2e-18   62.6   0.0   1   1   9.9e-18   9.9e-18   62.4   0.0     1   134     1   133     1   141 0.96 -
A0A786D876_class_2_c1_domain -            136 kari_class_1_swissprot_c1_domains -            146   8.2e-18   62.6   0.0   1   1     9e-18     9e-18   62.5   0.0     1   134     1   133     1   136 0.92 -
A0A5S3RHV6_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.3e-18   62.6   0.1   1   1   9.9e-18   9.9e-18   62.4   0.1     1   134     1   133     1   140 0.95 -
A0A2E2G3E2_class_2_c1_domain -            136 kari_class_1_swissprot_c1_domains -            146   8.5e-18   62.6   0.3   1   1   9.7e-18   9.7e-18   62.4   0.3     1   134     1   133     1   136 0.96 -
A0A162BR69_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.5e-18   62.6   0.2   1   1     1e-17     1e-17   62.3   0.2     1   135     1   134     1   143 0.94 -
A0A448U830_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.7e-18   62.5   0.1   1   1     1e-17     1e-17   62.3   0.1     1   136     1   135     1   144 0.94 -
A0A2A5X8A4_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.7e-18   62.5   0.1   1   1     1e-17     1e-17   62.3   0.1     1   138     1   137     1   144 0.94 -
A0A0E3ZS77_class_2_c1_domain -            136 kari_class_1_swissprot_c1_domains -            146   8.8e-18   62.5   0.1   1   1   9.7e-18   9.7e-18   62.4   0.1     1   134     1   133     1   136 0.94 -
A0A2K2ZEH6_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   9.1e-18   62.5   0.1   1   1   1.1e-17   1.1e-17   62.2   0.1     1   135     1   134     1   142 0.95 -
A0A1X7JCH2_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   9.3e-18   62.5   0.1   1   1   1.1e-17   1.1e-17   62.2   0.1     1   135     1   134     1   140 0.96 -
