Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_TS_DATA
D8L9A3	Streptophyta	Eukaryota	Magnoliopsida	endoplasmic reticulum [GO:0005783]; protein disulfide isomerase activity [GO:0003756]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum [GO:0005783]	GO:0003756; GO:0005783; GO:0006457; GO:0034976	Protein disulfide isomerase family protein 3-1 alfa (Putative PDI-like protein)	None	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
A0A024FRA5	Streptophyta	Eukaryota	Magnoliopsida	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
Q11067	Nematoda (roundworms)	Eukaryota	Chromadorea	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; endoplasmic reticulum unfolded protein response [GO:0030968]; response to endoplasmic reticulum stress [GO:0034976]	endoplasmic reticulum unfolded protein response [GO:0030968]; response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788; GO:0015035; GO:0030968; GO:0034976	Protein disulfide-isomerase A6 homolog (EC 5.3.4.1)	Protein disulfide isomerase family	KOG0191;	None	CLU_030311_0_0_1;	DDIWLVE;	840943at2759;	PF00085;	None	SSF52833;	None	None	None
Q8NBS9	Chordata	Eukaryota	Mammalia	azurophil granule lumen [GO:0035578]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; lysosomal lumen [GO:0043202]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; negative regulation of apoptotic process [GO:0043066]; protein folding [GO:0006457]	negative regulation of apoptotic process [GO:0043066]; protein folding [GO:0006457]	protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]	azurophil granule lumen [GO:0035578]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; lysosomal lumen [GO:0043202]	GO:0003756; GO:0005576; GO:0005783; GO:0005788; GO:0006457; GO:0015035; GO:0035578; GO:0043066; GO:0043202; GO:0070062	Thioredoxin domain-containing protein 5 (EC 1.8.4.-) (EC 5.3.4.1) (Endoplasmic reticulum resident protein 46) (ER protein 46) (ERp46) (Thioredoxin-like protein p46)	Protein disulfide isomerase family	KOG0191;	None	CLU_066321_0_0_1;	TKHQTLC;	522268at2759;	PF00085;	None	SSF52833;	None	None	None
Q980T5	Crenarchaeota	Archaea	Thermoprotei	peroxidase activity [GO:0004601]	None	peroxidase activity [GO:0004601]	None	GO:0004601	Glutaredoxin related protein	Glutaredoxin family	arCOG01218;	None	CLU_082677_0_0_2;	RMAHKFA;	None	PF13192;	None	SSF52833;	None	30_count=1	None
P55059	Ascomycota	Eukaryota	Sordariomycetes	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (PDI) (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
C0JBY4	Arthropoda	Eukaryota	Malacostraca	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
P04785	Chordata	Eukaryota	Mammalia	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; external side of plasma membrane [GO:0009897]; lamellipodium [GO:0030027]; melanosome [GO:0042470]; procollagen-proline 4-dioxygenase complex [GO:0016222]; protein-containing complex [GO:0032991]; actin binding [GO:0003779]; enzyme binding [GO:0019899]; integrin binding [GO:0005178]; procollagen-proline 4-dioxygenase activity [GO:0004656]; protein disulfide isomerase activity [GO:0003756]; protein heterodimerization activity [GO:0046982]; protein-containing complex binding [GO:0044877]; protein-disulfide reductase activity [GO:0015035]; thiol oxidase activity [GO:0016972]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-7 [GO:0098761]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; positive regulation of cell adhesion [GO:0045785]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of viral entry into host cell [GO:0046598]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; response to endoplasmic reticulum stress [GO:0034976]	cellular response to hypoxia [GO:0071456]; cellular response to interleukin-7 [GO:0098761]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; positive regulation of cell adhesion [GO:0045785]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of viral entry into host cell [GO:0046598]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; response to endoplasmic reticulum stress [GO:0034976]	actin binding [GO:0003779]; enzyme binding [GO:0019899]; integrin binding [GO:0005178]; procollagen-proline 4-dioxygenase activity [GO:0004656]; protein-containing complex binding [GO:0044877]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; protein heterodimerization activity [GO:0046982]; thiol oxidase activity [GO:0016972]	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; external side of plasma membrane [GO:0009897]; lamellipodium [GO:0030027]; melanosome [GO:0042470]; procollagen-proline 4-dioxygenase complex [GO:0016222]; protein-containing complex [GO:0032991]	GO:0003756; GO:0003779; GO:0004656; GO:0005178; GO:0005783; GO:0005788; GO:0005793; GO:0005829; GO:0005856; GO:0006457; GO:0009897; GO:0015035; GO:0016222; GO:0016972; GO:0018401; GO:0019899; GO:0030027; GO:0032991; GO:0034663; GO:0034975; GO:0034976; GO:0042470; GO:0044877; GO:0045785; GO:0046598; GO:0046982; GO:0071456; GO:0098761; GO:1900026; GO:1902175	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta)	Protein disulfide isomerase family	KOG0190;	None	CLU_025879_1_0_1;	FCDRFLE;	462118at2759;	PF00085;	None	SSF52833;	None	None	None
P17967	Ascomycota	Eukaryota	Saccharomycetes	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum quality control compartment [GO:0044322]; mannosyl-oligosaccharide 1,2-alpha-mannosidase complex [GO:0106055]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; unfolded protein binding [GO:0051082]; endoplasmic reticulum mannose trimming [GO:1904380]; mannose trimming involved in glycoprotein ERAD pathway [GO:1904382]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; protein alpha-1,2-demannosylation [GO:0036508]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	endoplasmic reticulum mannose trimming [GO:1904380]; mannose trimming involved in glycoprotein ERAD pathway [GO:1904382]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; protein alpha-1,2-demannosylation [GO:0036508]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; unfolded protein binding [GO:0051082]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum quality control compartment [GO:0044322]; mannosyl-oligosaccharide 1,2-alpha-mannosidase complex [GO:0106055]	GO:0003756; GO:0005783; GO:0005788; GO:0006457; GO:0015035; GO:0034976; GO:0036508; GO:0044322; GO:0051082; GO:0106055; GO:1900103; GO:1904380; GO:1904382	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Thioredoxin-related glycoprotein 1)	Protein disulfide isomerase family	KOG0190;	None	CLU_025879_5_0_1;	YIAKHAT;	None	PF00085;	None	SSF52833;	None	None	None
Q53LQ0	Streptophyta	Eukaryota	Magnoliopsida	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]; endosperm development [GO:0009960]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; response to endoplasmic reticulum stress [GO:0034976]	endosperm development [GO:0009960]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005783; GO:0005788; GO:0006457; GO:0009960; GO:0034975; GO:0034976	Protein disulfide isomerase-like 1-1 (OsPDIL1-1) (EC 5.3.4.1) (Endosperm storage protein 2) (Protein ESP2)	Protein disulfide isomerase family	KOG0190;	None	CLU_025879_6_1_1;	YIAKHAT;	462118at2759;	PF00085;	None	SSF52833;	None	None	None
Q67UF5	Streptophyta	Eukaryota	Magnoliopsida	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; response to endoplasmic reticulum stress [GO:0034976]	response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788; GO:0015035; GO:0034976	Protein disulfide isomerase-like 2-3 (OsPDIL2-3) (EC 5.3.4.1) (Protein disulfide isomerase-like 5-1) (OsPDIL5-1)	Protein disulfide isomerase family	KOG0191;	None	CLU_030311_1_0_1;	DDIWLVE;	840943at2759;	PF00085;	None	SSF52833;	None	None	None
D0EJL8	Ascomycota	Eukaryota	Schizosaccharomycetes	integral component of membrane [GO:0016021]; isomerase activity [GO:0016853]	None	isomerase activity [GO:0016853]	integral component of membrane [GO:0016021]	GO:0016021; GO:0016853	Protein disulfide isomerase 2	None	None	None	CLU_021868_0_0_1;	IFVYFYD;	None	PF00085;	None	SSF52833;	7.5_count=1	None	None
P38659	Chordata	Eukaryota	Mammalia	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; melanosome [GO:0042470]; smooth endoplasmic reticulum [GO:0005790]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; chaperone-mediated protein folding [GO:0061077]; positive regulation of protein folding [GO:1903334]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	chaperone-mediated protein folding [GO:0061077]; positive regulation of protein folding [GO:1903334]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; melanosome [GO:0042470]; smooth endoplasmic reticulum [GO:0005790]	GO:0003756; GO:0005615; GO:0005783; GO:0005788; GO:0005790; GO:0006457; GO:0009986; GO:0015035; GO:0034663; GO:0034976; GO:0042470; GO:0061077; GO:1903334	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Calcium-binding protein 2) (CaBP2) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	Protein disulfide isomerase family	KOG0190;	None	None	None	462118at2759;	PF00085;	None	SSF52833;	None	None	None
Q5UAH0	Apicomplexa	Eukaryota	Aconoidasida	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
D0QEL0	Chordata	Eukaryota	Actinopteri	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	462118at2759;	PF00085;	None	SSF52833;	None	None	None
P27773	Chordata	Eukaryota	Mammalia	acrosomal vesicle [GO:0001669]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; melanosome [GO:0042470]; MHC class I peptide loading complex [GO:0042824]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; smooth endoplasmic reticulum [GO:0005790]; TAP complex [GO:0042825]; Tapasin-ERp57 complex [GO:0061779]; identical protein binding [GO:0042802]; MHC class I protein binding [GO:0042288]; peptidase activity [GO:0008233]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase (glutathione) activity [GO:0019153]; protein-disulfide reductase activity [GO:0015035]; cellular response to interleukin-7 [GO:0098761]; cellular response to vitamin D [GO:0071305]; extrinsic apoptotic signaling pathway [GO:0097191]; peptide antigen assembly with MHC class I protein complex [GO:0002502]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of protein folding [GO:1903334]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	cellular response to interleukin-7 [GO:0098761]; cellular response to vitamin D [GO:0071305]; extrinsic apoptotic signaling pathway [GO:0097191]; peptide antigen assembly with MHC class I protein complex [GO:0002502]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of protein folding [GO:1903334]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	identical protein binding [GO:0042802]; MHC class I protein binding [GO:0042288]; peptidase activity [GO:0008233]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase (glutathione) activity [GO:0019153]; protein-disulfide reductase activity [GO:0015035]	acrosomal vesicle [GO:0001669]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; melanosome [GO:0042470]; MHC class I peptide loading complex [GO:0042824]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; smooth endoplasmic reticulum [GO:0005790]; Tapasin-ERp57 complex [GO:0061779]; TAP complex [GO:0042825]	GO:0001669; GO:0002502; GO:0003756; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005758; GO:0005783; GO:0005788; GO:0005790; GO:0005886; GO:0006457; GO:0008233; GO:0009986; GO:0015035; GO:0016324; GO:0019153; GO:0034976; GO:0042288; GO:0042470; GO:0042802; GO:0042824; GO:0042825; GO:0043209; GO:0061779; GO:0071305; GO:0097191; GO:0098761; GO:1903334; GO:2001238	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	Protein disulfide isomerase family	KOG0190;	None	CLU_025879_6_0_1;	YIAKHAT;	462118at2759;	PF00085;	None	SSF52833;	7.5_count=1	None	70-75_count=1
E1CAJ6	Chordata	Eukaryota	Mammalia	endoplasmic reticulum lumen [GO:0005788]; melanosome [GO:0042470]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; response to endoplasmic reticulum stress [GO:0034976]	response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]	endoplasmic reticulum lumen [GO:0005788]; melanosome [GO:0042470]	GO:0003756; GO:0005788; GO:0015035; GO:0034976; GO:0042470	Protein disulfide-isomerase A6 (EC 5.3.4.1)	Protein disulfide isomerase family	KOG0191;	None	CLU_030311_0_0_1;	DDIWLVE;	840943at2759;	PF00085;	None	SSF52833;	8.6_count=1	37_count=1	None
Q9GPH2	Arthropoda	Eukaryota	Insecta	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	CLU_025879_1_0_1;	None	462118at2759;	PF00085;	None	SSF52833;	None	None	None
