Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_TS_DATA
A8YPP2	Proteobacteria	Bacteria	Betaproteobacteria	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Glycoside hydrolase (Polygalacturonase)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	YCKDMAS;	None	PF00295;	SM00710;	SSF51126;	None	45_count=1	None
Q07181	Ascomycota	Eukaryota	Sordariomycetes	extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	extracellular region [GO:0005576]	GO:0004650; GO:0005576; GO:0045490; GO:0071555	Polygalacturonase (PG) (EC 3.2.1.15) (FmPG) (Pectinase)	Glycosyl hydrolase 28 family	ENOG502QW1P;	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
P26214	Ascomycota	Eukaryota	Eurotiomycetes	extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	extracellular region [GO:0005576]	GO:0004650; GO:0005576; GO:0045490; GO:0071555	Endopolygalacturonase II (EPG-II) (EC 3.2.1.15) (Pectinase 2) (Polygalacturonase II) (PG-II) (Polygalacturonase X2)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
P26213	Ascomycota	Eukaryota	Eurotiomycetes	extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	extracellular region [GO:0005576]	GO:0004650; GO:0005576; GO:0045490; GO:0071555	Endopolygalacturonase I (EC 3.2.1.15) (Pectinase 1) (Polygalacturonase I) (PG-I)	Glycosyl hydrolase 28 family	ENOG502QST2;	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
B9JUR9	Proteobacteria	Bacteria	Alphaproteobacteria	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Polygalacturonase/Pectinase	Glycosyl hydrolase 28 family	COG5434;	2.160.20.10;	CLU_016031_0_0_5;	HFYYGHG;	None	PF00295;	None	SSF51126;	None	None	None
C5GZ77	Oomycota	Eukaryota	None	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Endopolygalacturonase 10	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
C5GZ76	Oomycota	Eukaryota	None	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Endopolygalacturonase 9	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
C5GZ75	Oomycota	Eukaryota	None	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Endopolygalacturonase 8	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
C5GZ74	Oomycota	Eukaryota	None	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Endopolygalacturonase 7	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
C5GZ73	Oomycota	Eukaryota	None	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Endopolygalacturonase 6	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
C5GZ72	Oomycota	Eukaryota	None	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Endopolygalacturonase 5	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	AIIFRID;	None	PF00295;	SM00710;	SSF51126;	None	None	None
C5GZ71	Oomycota	Eukaryota	None	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Endopolygalacturonase 4	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
A9PL23	Streptophyta	Eukaryota	Magnoliopsida	None	None	None	None	None	Polygalacturonase-inhibiting protein	None	None	3.80.10.10;	None	None	None	PF00560;PF13855;PF08263;	SM00369;	None	None	None	None
C5GZ70	Oomycota	Eukaryota	None	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Endopolygalacturonase 3	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
C5GZ69	Oomycota	Eukaryota	None	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Endopolygalacturonase 2	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
Q5C997	Oomycota	Eukaryota	None	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Endopolygalacturonase (EC 3.2.1.15)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
A8YPP3	Proteobacteria	Bacteria	Betaproteobacteria	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Glycoside hydrolase (Polygalacturonase)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	IRIKSNV;	None	PF00295;	None	SSF51126;	4_count=1	45_count=1	None
Q4G495	Ascomycota	Eukaryota	Leotiomycetes	polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0045490; GO:0071555	Endopolygalacturonase 2 (EC 3.2.1.15) (Polygalacturonase 2)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
Q4G496	Ascomycota	Eukaryota	Leotiomycetes	polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0045490; GO:0071555	Endopolygalacturonase 1 (EC 3.2.1.15)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	GSTIKFM;	None	PF00295;	SM00710;	SSF51126;	None	None	None
Q1A230	Streptophyta	Eukaryota	Magnoliopsida	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Polygalacturonase (EC 3.2.1.15)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
P94293	Proteobacteria	Bacteria	Betaproteobacteria	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Polygalacturonase	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	None	SSF51126;	3.5_count=1	-999_count=1	-999_count=1
Q9Y7W2	Ascomycota	Eukaryota	Leotiomycetes	polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0045490; GO:0071555	Endopolygalacturonase 6 (EC 3.2.1.15)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	NDHXTIT;	None	PF00295;	SM00710;	SSF51126;	None	None	None
Q9Y7W1	Ascomycota	Eukaryota	Leotiomycetes	polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0045490; GO:0071555	Endopolygalacturonase 5 (EC 3.2.1.15)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
Q9Y7W0	Ascomycota	Eukaryota	Leotiomycetes	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]	carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975; GO:0071555	Endopolygalacturonase 4 (EC 3.2.1.15)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	None	SSF51126;	None	None	None
Q9Y7V9	Ascomycota	Eukaryota	Leotiomycetes	polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0045490; GO:0071555	Endopolygalacturonase 3 (EC 3.2.1.15) (Polygalacturonase 3)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
Q2M4X6	Streptophyta	Eukaryota	Magnoliopsida	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Polygalacturonase	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
