Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
A0A140CWW4	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase 3 (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.25;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1;2.095;2,6-dimethoxyphenol_count=2	3.5_count=1	None	50_count=1	None	329.0;2,6-dimethoxyphenol_count=1;399.0;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2	None
A0A144KZD6	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.01;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1;0.5;2,6-dimethoxyphenol_count=2;2.23;guaiacol_count=3;3.77;syringaldazine_count=4	3.5_count=1;5.5_count=2;3_count=3	None	50_count=1	None	None	None
B9W2C5	Firmicutes	Bacteria	Bacilli	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	GO:0005507; GO:0016491	Laccase	None	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.1419;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=5	None	None	None	None	45.8;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=4	None
I6QS85	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0016491	Laccase	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.43;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1	2_count=1	None	50_count=1	None	None	30-50_count=2
M9Y1F2	Firmicutes	Bacteria	Bacilli	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	GO:0005507; GO:0016491	Spore coat protein	None	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	None	6.9_count=1;7.3_count=2;4.4_count=3	None	60_count=1	None	None	None
I3RYX9	Firmicutes	Bacteria	Bacilli	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	GO:0005507; GO:0052716	CotA (EC 1.10.3.2)	None	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	7.0;guaiacol_count=1	8_count=1;5_count=2	None	60_count=1;80_count=2	None	377.0;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1;40.0;guaiacol_count=2	30_count=1
A0A165W3F6	Firmicutes	Bacteria	Bacilli	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	GO:0005507; GO:0052716	Laccase (EC 1.10.3.2)	None	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.0196;syringaldazine_count=1;0.046;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2	6.5_count=1;4.5_count=2	None	50_count=1	None	23.0;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1;24.0;syringaldazine_count=2	None
A0A0U2US60	Streptophyta	Eukaryota	Magnoliopsida	apoplast [GO:0048046]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274]	lignin catabolic process [GO:0046274]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	apoplast [GO:0048046]	GO:0005507; GO:0046274; GO:0048046; GO:0052716	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	3.9;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1	2.8_count=1	None	45_count=1	None	0.012988;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1	None
K4PL78	Firmicutes	Bacteria	Bacilli	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	GO:0005507; GO:0052716	Laccase (EC 1.10.3.2)	None	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.11;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1;0.41;2,6-dimethoxyphenol_count=3;1.05;guaiacol_count=9	None	None	None	None	11.9;guaiacol_count=1;23.2;2,6-dimethoxyphenol_count=3;42.2;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=6	None
X5JA14	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0016491	Benzenediol:oxygen oxidoreductase	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	1.114;guaiacol_count=1;0.136;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2;1.374;2,6-dimethylyphenol_count=3;0.087;syringaldazine_count=4	5.5_count=1;5_count=2;3_count=3	None	60_count=1;50_count=2;65_count=3	None	0.307;2,6-dimethylyphenol_count=1;0.418;guaiacol_count=2;3.485;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=3;31.96;syringaldazine_count=4	None
A0A0F6SIA9	Proteobacteria	Bacteria	Alphaproteobacteria	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	GO:0005507; GO:0016491	Copper oxidase (Fragment)	None	None	2.60.40.420;	None	None	None	PF07731;PF07732;	None	SSF49503;	0.2308;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1	4.5_count=1	None	50_count=1	None	32.8;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1	None
A0A0A0Q5C7	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase 7 (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.3;guaiacol_count=1;0.0934;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2;0.529;catechol_count=3;0.2;2,6-dimethoxyphenol_count=4	4.5_count=1;3_count=3	None	45-50_count=1;50_count=2;45_count=3	None	128.1;guaiacol_count=1;2468.0;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2;626.0;catechol_count=3;703.7;2,6-dimethoxyphenol_count=4	None
V5XVN3	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0016491	Laccase2a	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	None	None	None	None	None	None	None
Q6TH77	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.0072;syringaldazine_count=1;0.0081;syringaldazine_count=2;0.0093;syringaldazine_count=3;0.0116;syringaldazine_count=4;0.0126;syringaldazine_count=5;0.0237;syringaldazine_count=6;0.722;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=7;0.835;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=8;0.964;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=9;1.237;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=10;1.268;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=11;2.042;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=12	5.5_count=1	None	None	None	113.0;syringaldazine_count=1;170.0;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2;188.0;syringaldazine_count=3;246.0;syringaldazine_count=4;290.0;syringaldazine_count=5;299.0;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=6;328.0;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=7;386.0;syringaldazine_count=8;445.0;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=9;549.0;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=10;67.0;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=11;71.0;syringaldazine_count=12	None
A0A1C9EFW4	Arthropoda	Eukaryota	Insecta	mitochondrion [GO:0005739]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	mitochondrion [GO:0005739]	GO:0005507; GO:0005739; GO:0016491	Laccase 1	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	2.93;hydroquinone_count=1;6.82;2,6-dimethoxyphenol_count=2	None	None	None	None	None	None
V9PQZ7	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0016491	Laccase (Fragment)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.0536;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1	4.5_count=1	None	23_count=1	None	None	None
Q12718	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274]	lignin catabolic process [GO:0046274]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0046274; GO:0052716	Laccase-2 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 2) (Diphenol oxidase 2) (Laccase I) (Urishiol oxidase 2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	15.0;guaiacol_count=1;39.0;syringaldazine_count=2;45.0;2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=3;47.0;2,6-dimethoxyphenol_count=4	5_count=1;3_count=2	None	23_count=1	None	None	None
J9S5G3	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	GO:0005507; GO:0052716	Multicopper oxidase (EC 1.10.3.2)	None	None	2.60.40.420;	None	None	None	PF07731;PF07732;	None	SSF49503;	0.38;2,6-dimethoxyphenol_count=1;4.5;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2;9.9;K4[Fe(CN)6]_count=3;0.3;guaiacol_count=4	8.5_count=1;3_count=2	None	None	14.0;EDTA_count=1;8.0;EDTA_count=2	0.2;K4[Fe(CN)6]_count=1;1.9;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2;34.4;2,6-dimethoxyphenol_count=3;8.0;guaiacol_count=4	None
Q8ZWA8	Crenarchaeota	Archaea	Thermoprotei	integral component of membrane [GO:0016021]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	integral component of membrane [GO:0016021]	GO:0005507; GO:0016021; GO:0016491	Multicopper oxidase	None	arCOG03914;	2.60.40.420;	CLU_009100_2_1_2;	LLPKQWG;	None	PF00394;PF07731;PF07732;	None	SSF49503;	None	None	None	None	None	None	37_count=1
D4GPK6	Euryarchaeota	Archaea	Halobacteria	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2) (LccA multicopper oxidase)	Multicopper oxidase family	arCOG03914;	2.60.40.420;	CLU_009100_4_0_2;	LLPKQWG;	None	PF07731;PF07732;	None	SSF49503;	0.035;syringaldazine_count=1;0.236;bilirubin_count=2;0.67;2,2-azino-bis-(3-ethylbenzothiazoline-6-sulfonic acid)_count=3	6_count=1;8.5_count=2;8.4_count=3	None	45_count=1	None	10.0;2,2-azino-bis-(3-ethylbenzothiazoline-6-sulfonic acid)_count=1;22.0;syringaldazine_count=2;29.0;bilirubin_count=3	55_count=2;45-50_count=3;37_count=4
Q8H979	Streptophyta	Eukaryota	Magnoliopsida	apoplast [GO:0048046]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274]	lignin catabolic process [GO:0046274]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	apoplast [GO:0048046]	GO:0005507; GO:0046274; GO:0048046; GO:0052716	Laccase (EC 1.10.3.2) (Fragment)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.045;2,2'-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)_count=1;0.069;4-hydroxy-3,5-dimethoxybenzaldehyde azine_count=2;0.098;catechol_count=3;0.17;dopamine_count=4;0.38;ferrocenemonocarboxylic acid_count=5;0.79;ferrocyanide_count=6	4.5-5_count=1	None	25_count=1	None	0.1;ferrocyanide_count=1;0.32;4-hydroxy-3,5-dimethoxybenzaldehyde azine_count=2;0.92;ferrocenemonocarboxylic acid_count=3;10.1;2,2'-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)_count=4;2.6;catechol_count=5;4.4;dopamine_count=6	None
Q02497	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274]	lignin catabolic process [GO:0046274]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0046274; GO:0052716	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Ligninolytic phenoloxidase) (Urishiol oxidase)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.034;4-hydroxy-3,5-dimethoxybenzaldehyde azine_count=1;0.041;2,2'-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)_count=2;0.16;catechol_count=3;0.29;dopamine_count=4;0.32;ferrocyanide_count=5;0.45;ferrocenemonocarboxylic acid_count=6	4.5-5_count=1	None	25_count=1	None	108.0;ferrocyanide_count=1;122.0;4-hydroxy-3,5-dimethoxybenzaldehyde azine_count=2;137.0;ferrocenemonocarboxylic acid_count=3;184.0;dopamine_count=4;196.0;2,2'-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)_count=5;202.0;catechol_count=6	None
