Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
A5YKJ2	Proteobacteria	Bacteria	Gammaproteobacteria	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	COG0076;	3.40.640.10;	None	TMAPHSE;	1478871at2;	PF00282;	None	SSF53383;	None	3.8_count=1	30_count=1	None	None	100_count=2
D7VEX3	Firmicutes	Bacteria	Bacilli	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	CLU_019582_2_1_9;	None	None	PF00282;	None	SSF53383;	122.1;L-glutamate_count=2;22.8;L-glutamate_count=4	5_count=1	40_count=1	None	0.015;L-glutamate_count=1;21.75;L-glutamate_count=3	90_count=1;70-90_count=2
C7LHI0	Proteobacteria	Bacteria	Alphaproteobacteria	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	CLU_019582_0_1_5;	IIWRDES;	None	PF00282;	None	SSF53383;	2.68;L-glutamate_count=2	4.6_count=1	25_count=1	None	17.88;L-glutamate_count=1	None
P69908	Proteobacteria	Bacteria	Gammaproteobacteria	cytosol [GO:0005829]; membrane [GO:0016020]; glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate catabolic process [GO:0006538]; intracellular pH elevation [GO:0051454]	glutamate catabolic process [GO:0006538]; intracellular pH elevation [GO:0051454]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	cytosol [GO:0005829]; membrane [GO:0016020]	GO:0004351; GO:0005829; GO:0006538; GO:0016020; GO:0030170; GO:0051454	Glutamate decarboxylase alpha (GAD-alpha) (EC 4.1.1.15)	Group II decarboxylase family	COG0076;	3.40.640.10;	CLU_019582_0_0_6;	IIWRDES;	None	PF00282;	None	SSF53383;	None	None	None	None	None	None
A0A0U3JTC9	Firmicutes	Bacteria	Bacilli	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	8.1;L-glutamate_count=2	5_count=1	50_count=1	None	None	None
A7UMP3	Firmicutes	Bacteria	Bacilli	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	None	4_count=1	55_count=1;50_count=2	None	None	65_count=1
Q8U1P6	Euryarchaeota	Archaea	Thermococci	aspartate 1-decarboxylase activity [GO:0004068]; pyridoxal phosphate binding [GO:0030170]; carboxylic acid metabolic process [GO:0019752]; coenzyme A biosynthetic process [GO:0015937]	carboxylic acid metabolic process [GO:0019752]; coenzyme A biosynthetic process [GO:0015937]	aspartate 1-decarboxylase activity [GO:0004068]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004068; GO:0015937; GO:0019752; GO:0030170	Probable L-aspartate decarboxylase (ADC) (EC 4.1.1.11)	Group II decarboxylase family, MfnA subfamily	arCOG00027;	3.40.640.10;3.90.1150.10;	CLU_028929_2_1_2;	DPHKMGL;	None	PF00282;	None	SSF53383;	2.22;L-glutamate_count=1	6_count=1	75_count=1	None	1.43;L-glutamate_count=1	90_count=1
P48320	Chordata	Eukaryota	Mammalia	anchored component of membrane [GO:0031225]; anchoring junction [GO:0070161]; axon [GO:0030424]; clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane [GO:0061202]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; inhibitory synapse [GO:0060077]; perinuclear region of cytoplasm [GO:0048471]; presynaptic membrane [GO:0042734]; synapse [GO:0045202]; synaptic vesicle membrane [GO:0030672]; carboxy-lyase activity [GO:0016831]; glutamate binding [GO:0016595]; glutamate decarboxylase activity [GO:0004351]; protein-containing complex binding [GO:0044877]; pyridoxal phosphate binding [GO:0030170]; gamma-aminobutyric acid biosynthetic process [GO:0009449]; glutamate decarboxylation to succinate [GO:0006540]; neurotransmitter biosynthetic process [GO:0042136]; response to xenobiotic stimulus [GO:0009410]	gamma-aminobutyric acid biosynthetic process [GO:0009449]; glutamate decarboxylation to succinate [GO:0006540]; neurotransmitter biosynthetic process [GO:0042136]; response to xenobiotic stimulus [GO:0009410]	carboxy-lyase activity [GO:0016831]; glutamate binding [GO:0016595]; glutamate decarboxylase activity [GO:0004351]; protein-containing complex binding [GO:0044877]; pyridoxal phosphate binding [GO:0030170]	anchored component of membrane [GO:0031225]; anchoring junction [GO:0070161]; axon [GO:0030424]; clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane [GO:0061202]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; inhibitory synapse [GO:0060077]; perinuclear region of cytoplasm [GO:0048471]; presynaptic membrane [GO:0042734]; synapse [GO:0045202]; synaptic vesicle membrane [GO:0030672]	GO:0000139; GO:0004351; GO:0005737; GO:0005829; GO:0006540; GO:0009410; GO:0009449; GO:0016595; GO:0016831; GO:0030170; GO:0030424; GO:0030672; GO:0031225; GO:0031410; GO:0042136; GO:0042734; GO:0044877; GO:0045202; GO:0048471; GO:0060077; GO:0061202; GO:0070161	Glutamate decarboxylase 2 (EC 4.1.1.15) (65 kDa glutamic acid decarboxylase) (GAD-65) (Glutamate decarboxylase 65 kDa isoform)	Group II decarboxylase family	KOG0629;	3.40.640.10;	CLU_011856_0_0_1;	VACTCDQ;	810772at2759;	PF00282;	None	SSF53383;	5.4;L-glutamate_count=2	8-8.5_count=1	37_count=1	0.1;3-[(2E)-2-[1-(3,4-dimethoxyphenyl)ethylidene]hydrazinyl]benzoic acid_count=1;0.0049;biphenyl-3,3'-dicarbaldehyde_count=2;0.1;4-nitro-7-[[(1-phenyl-1H-tetrazol-5-yl)sulfanyl]methyl]-2,1 3-benzothiadiazole_count=3;0.1;[(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)oxy]acetic acid_count=4;0.002;10H-indeno[2,1-e]tetrazolo[1,5-b][1,2,4]triazin-10-one_count=5;0.004;1,4-dioxo-1,2,3,4-tetrahydronaphthalen-2-yl 2,3,4-tri-O-acetylpentopyranoside_count=6;0.003;4-(piperidin-1-yl)naphthalene-1,2-dione_count=7;0.0033;(5Z)-2-amino-5-(2-nitrobenzylidene)-1,3-thiazol-4(5H)-one_count=8;0.0004;3,3'-(4H-1,2,4-triazole-3,5-diyl)bis(4-nitro-1,2,5-oxadiazole)_count=9;0.0005;carboxymethoxylamine_count=10;0.001;methyl 2-amino-3-oxo-3H-phenothiazine-1-carboxylate_count=11;0.0012;N-[4,7-dioxo-6-(phenylamino)-4,7-dihydro-2,1 3-benzoxadiazol-5-yl]acetamide_count=12;0.0022;N-[4,7-dioxo-6-(piperidin-1-yl)-4,7-dihydro-2,1 3-benzoxadiazol-5-yl]acetamide_count=13;0.0023;6,11-dioxo-5a,6,11,11a-tetrahydronaphtho[2',3':4,5][1,3]thiazolo[3 2-a]pyridin-12-ium_count=14;0.0029;4-(morpholin-4-yl)naphthalene-1,2-dione_count=15;0.0033;5,6-dichloro-2,1,3-benzothiadiazole-4,7-diol_count=16;0.0041;naphtho[2',3':4,5]imidazo[1,2-a]pyridine-6,11-dione_count=17;0.0042;2-hydroxy-2-(2-hydroxy-6-oxocyclohex-2-en-1-yl)-1H-indene-1 3(2H)-dione_count=18;0.0064;3-[(E)-(2,6-difluorobenzylidene)amino]-2-thioxo-1,3-thiazolidin-4-one_count=19;0.0064;4-[(1,4-dioxo-1,2,3,4-tetrahydronaphthalen-2-yl)sulfanyl]butanoic acid_count=20;0.0065;5-[(E)-[[1-(2-chlorobenzyl)-1H-indol-3-yl]methylidene]amino]-1 3-dihydro-2H-benzimidazol-2-one_count=21;0.0065;methyl 2-[[(2-methylimidazo[1,2-a]pyridin-3-yl)carbonyl]amino]benzoate_count=22;0.0069;1-(2-nitrobenzyl)-1H-indole-3-carbaldehyde_count=23;0.0069;5-[(E)-benzylideneamino]-6-[(2-hydroxyethyl)amino]pyrimidine-2,4(1H 3H)-dione_count=24;0.0073;2-(benzylsulfanyl)-3-(morpholin-4-yl)-2,3-dihydronaphthalene-1 4-dione_count=25;0.0076;N-(2-hydroxy-1,3-dioxo-2,3-dihydro-1H-inden-2-yl)benzamide_count=26;0.0077;4-nitro-1,6-dihydrobenzo[1,2-d:3,4-d']bis[1,2,3]triazole_count=27;0.0087;2-chloro-N-[5-([2-oxo-2-[(4-sulfamoylphenyl)amino]ethyl]sulfanyl)-1,3 4-thiadiazol-2-yl]acetamide_count=28;0.0089;2-[(3-formyl-1H-indol-1-yl)methyl]benzonitrile_count=29;0.01;2-thioxo-3-[(E)-(3,3,5-trimethylcyclohexylidene)amino]-1 3-thiazolidin-4-one_count=30;0.012;4,4'-(phenylmethanediyl)bis[2-(4-chlorophenyl)-5-methyl-2 4-dihydro-3H-pyrazol-3-one]_count=31;0.0123;(4Z,7E)-N,N'-dihydroxy-2,2-dimethyl-5,6-dihydro-2H-benzimidazole-4 7-diimine_count=32;0.0138;4,4'-[(4-hydroxyphenyl)methanediyl]bis(2-heptyl-5-methyl-2 4-dihydro-3H-pyrazol-3-one)_count=33;0.0143;9H-indeno[1,2-b][1,2,5]oxadiazolo[3,4-e]pyrazin-9-one_count=34;0.0558;5-[[5-hydroxy-3-methyl-1-(4-methylphenyl)-1H-pyrazol-4-yl]methylidene] 1,3-diphenyl-2-thioxodihydropyrimidine-4,6(1H,5H)-dione_count=35;0.0777;2,4-bis[2-(4-hydroxyphenyl)propan-2-yl]phenol_count=36;0.0845;2-[(2-chloro-5-nitrobenzoyl)amino]-5-iodobenzoic acid_count=37	None	None
P20228	Arthropoda	Eukaryota	Insecta	cytoplasm [GO:0005737]; cytosol [GO:0005829]; carboxy-lyase activity [GO:0016831]; glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; gamma-aminobutyric acid biosynthetic process [GO:0009449]; glutamate catabolic process [GO:0006538]; larval locomotory behavior [GO:0008345]; neuromuscular junction development [GO:0007528]; neurotransmitter biosynthetic process [GO:0042136]; neurotransmitter receptor metabolic process [GO:0045213]; olfactory learning [GO:0008355]; response to mechanical stimulus [GO:0009612]; synapse assembly [GO:0007416]	gamma-aminobutyric acid biosynthetic process [GO:0009449]; glutamate catabolic process [GO:0006538]; larval locomotory behavior [GO:0008345]; neuromuscular junction development [GO:0007528]; neurotransmitter biosynthetic process [GO:0042136]; neurotransmitter receptor metabolic process [GO:0045213]; olfactory learning [GO:0008355]; response to mechanical stimulus [GO:0009612]; synapse assembly [GO:0007416]	carboxy-lyase activity [GO:0016831]; glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	GO:0004351; GO:0005737; GO:0005829; GO:0006538; GO:0007416; GO:0007528; GO:0008345; GO:0008355; GO:0009449; GO:0009612; GO:0016831; GO:0030170; GO:0042136; GO:0045213	Glutamate decarboxylase (GAD) (EC 4.1.1.15)	Group II decarboxylase family	KOG0629;	3.40.640.10;	CLU_011856_0_0_1;	RHATYHA;	810772at2759;	PF00282;	None	SSF53383;	10.1;L-glutamate_count=2	8-8.5_count=1	37_count=1	0.1;2,4-bis[2-(4-hydroxyphenyl)propan-2-yl]phenol_count=1;0.1;3-[(2E)-2-[1-(3,4-dimethoxyphenyl)ethylidene]hydrazinyl]benzoic acid_count=2;0.002;10H-indeno[2,1-e]tetrazolo[1,5-b][1,2,4]triazin-10-one_count=3;0.0004;carboxymethoxylamine_count=4;0.001;N-[4,7-dioxo-6-(phenylamino)-4,7-dihydro-2,1 3-benzoxadiazol-5-yl]acetamide_count=5;0.0013;N-[4,7-dioxo-6-(piperidin-1-yl)-4,7-dihydro-2,1 3-benzoxadiazol-5-yl]acetamide_count=6;0.0014;methyl 2-amino-3-oxo-3H-phenothiazine-1-carboxylate_count=7;0.0022;6,11-dioxo-5a,6,11,11a-tetrahydronaphtho[2',3':4,5][1,3]thiazolo[3 2-a]pyridin-12-ium_count=8;0.003;4-(morpholin-4-yl)naphthalene-1,2-dione_count=9;0.0037;5,6-dichloro-2,1,3-benzothiadiazole-4,7-diol_count=10;0.0037;naphtho[2',3':4,5]imidazo[1,2-a]pyridine-6,11-dione_count=11;0.0038;1,4-dioxo-1,2,3,4-tetrahydronaphthalen-2-yl 2,3,4-tri-O-acetylpentopyranoside_count=12;0.0047;2-hydroxy-2-(2-hydroxy-6-oxocyclohex-2-en-1-yl)-1H-indene-1 3(2H)-dione_count=13;0.005;methyl 2-[[(2-methylimidazo[1,2-a]pyridin-3-yl)carbonyl]amino]benzoate_count=14;0.0063;biphenyl-3,3'-dicarbaldehyde_count=15;0.0066;5-[(E)-[[1-(2-chlorobenzyl)-1H-indol-3-yl]methylidene]amino]-1 3-dihydro-2H-benzimidazol-2-one_count=16;0.0067;4-[(1,4-dioxo-1,2,3,4-tetrahydronaphthalen-2-yl)sulfanyl]butanoic acid_count=17;0.0076;1-(2-nitrobenzyl)-1H-indole-3-carbaldehyde_count=18;0.0077;5-[(E)-benzylideneamino]-6-[(2-hydroxyethyl)amino]pyrimidine-2,4(1H 3H)-dione_count=19;0.0089;2-(benzylsulfanyl)-3-(morpholin-4-yl)-2,3-dihydronaphthalene-1 4-dione_count=20;0.0089;9H-indeno[1,2-b][1,2,5]oxadiazolo[3,4-e]pyrazin-9-one_count=21;0.0105;N-(2-hydroxy-1,3-dioxo-2,3-dihydro-1H-inden-2-yl)benzamide_count=22;0.0109;3-[(E)-(2,6-difluorobenzylidene)amino]-2-thioxo-1,3-thiazolidin-4-one_count=23;0.0122;5-[[5-hydroxy-3-methyl-1-(4-methylphenyl)-1H-pyrazol-4-yl]methylidene] 1,3-diphenyl-2-thioxodihydropyrimidine-4,6(1H,5H)-dione_count=24;0.0138;2-[(3-formyl-1H-indol-1-yl)methyl]benzonitrile_count=25;0.014;2-thioxo-3-[(E)-(3,3,5-trimethylcyclohexylidene)amino]-1 3-thiazolidin-4-one_count=26;0.0188;4,4'-[(4-hydroxyphenyl)methanediyl]bis(2-heptyl-5-methyl-2 4-dihydro-3H-pyrazol-3-one)_count=27;0.0209;4-nitro-1,6-dihydrobenzo[1,2-d:3,4-d']bis[1,2,3]triazole_count=28;0.0212;3,3'-(4H-1,2,4-triazole-3,5-diyl)bis(4-nitro-1,2,5-oxadiazole)_count=29;0.0244;[(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)oxy]acetic acid_count=30;0.0269;4,4'-(phenylmethanediyl)bis[2-(4-chlorophenyl)-5-methyl-2 4-dihydro-3H-pyrazol-3-one]_count=31;0.0284;2-chloro-N-[5-([2-oxo-2-[(4-sulfamoylphenyl)amino]ethyl]sulfanyl)-1,3 4-thiadiazol-2-yl]acetamide_count=32;0.03;(4Z,7E)-N,N'-dihydroxy-2,2-dimethyl-5,6-dihydro-2H-benzimidazole-4 7-diimine_count=33;0.0714;2-[(2-chloro-5-nitrobenzoyl)amino]-5-iodobenzoic acid_count=34;0.0981;4-nitro-7-[[(1-phenyl-1H-tetrazol-5-yl)sulfanyl]methyl]-2,1 3-benzothiadiazole_count=35;0.003;4-(piperidin-1-yl)naphthalene-1,2-dione_count=36;0.0033;(5Z)-2-amino-5-(2-nitrobenzylidene)-1,3-thiazol-4(5H)-one_count=37	None	None
K7XPX5	Arthropoda	Eukaryota	Arachnida	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; carboxylic acid metabolic process [GO:0019752]	carboxylic acid metabolic process [GO:0019752]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0019752; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	None	8-8.5_count=1	37_count=1	0.0104;5-[(E)-benzylideneamino]-6-[(2-hydroxyethyl)amino]pyrimidine-2,4(1H 3H)-dione_count=1;0.1;2-[(2-chloro-5-nitrobenzoyl)amino]-5-iodobenzoic acid_count=2;0.0011;N-[4,7-dioxo-6-(phenylamino)-4,7-dihydro-2,1 3-benzoxadiazol-5-yl]acetamide_count=3;0.0017;methyl 2-amino-3-oxo-3H-phenothiazine-1-carboxylate_count=4;0.0021;6,11-dioxo-5a,6,11,11a-tetrahydronaphtho[2',3':4,5][1,3]thiazolo[3 2-a]pyridin-12-ium_count=5;0.0023;N-[4,7-dioxo-6-(piperidin-1-yl)-4,7-dihydro-2,1 3-benzoxadiazol-5-yl]acetamide_count=6;0.0026;4-[(1,4-dioxo-1,2,3,4-tetrahydronaphthalen-2-yl)sulfanyl]butanoic acid_count=7;0.0034;4-nitro-1,6-dihydrobenzo[1,2-d:3,4-d']bis[1,2,3]triazole_count=8;0.0039;4-(morpholin-4-yl)naphthalene-1,2-dione_count=9;0.0045;9H-indeno[1,2-b][1,2,5]oxadiazolo[3,4-e]pyrazin-9-one_count=10;0.0051;2,4-bis[2-(4-hydroxyphenyl)propan-2-yl]phenol_count=11;0.0053;4-(piperidin-1-yl)naphthalene-1,2-dione_count=12;0.0053;5,6-dichloro-2,1,3-benzothiadiazole-4,7-diol_count=13;0.0053;biphenyl-3,3'-dicarbaldehyde_count=14;0.0055;4-nitro-7-[[(1-phenyl-1H-tetrazol-5-yl)sulfanyl]methyl]-2,1 3-benzothiadiazole_count=15;0.0057;(5Z)-2-amino-5-(2-nitrobenzylidene)-1,3-thiazol-4(5H)-one_count=16;0.006;methyl 2-[[(2-methylimidazo[1,2-a]pyridin-3-yl)carbonyl]amino]benzoate_count=17;0.0063;3-[(E)-(2,6-difluorobenzylidene)amino]-2-thioxo-1,3-thiazolidin-4-one_count=18;0.0063;5-[(E)-[[1-(2-chlorobenzyl)-1H-indol-3-yl]methylidene]amino]-1 3-dihydro-2H-benzimidazol-2-one_count=19;0.0069;2-hydroxy-2-(2-hydroxy-6-oxocyclohex-2-en-1-yl)-1H-indene-1 3(2H)-dione_count=20;0.0073;naphtho[2',3':4,5]imidazo[1,2-a]pyridine-6,11-dione_count=21;0.0075;2-thioxo-3-[(E)-(3,3,5-trimethylcyclohexylidene)amino]-1 3-thiazolidin-4-one_count=22;0.008;1-(2-nitrobenzyl)-1H-indole-3-carbaldehyde_count=23;0.0082;N-(2-hydroxy-1,3-dioxo-2,3-dihydro-1H-inden-2-yl)benzamide_count=24;0.0112;2-(benzylsulfanyl)-3-(morpholin-4-yl)-2,3-dihydronaphthalene-1 4-dione_count=25;0.0135;(4Z,7E)-N,N'-dihydroxy-2,2-dimethyl-5,6-dihydro-2H-benzimidazole-4 7-diimine_count=26;0.014;2-[(3-formyl-1H-indol-1-yl)methyl]benzonitrile_count=27;0.0148;3,3'-(4H-1,2,4-triazole-3,5-diyl)bis(4-nitro-1,2,5-oxadiazole)_count=28;0.0149;5-[[5-hydroxy-3-methyl-1-(4-methylphenyl)-1H-pyrazol-4-yl]methylidene] 1,3-diphenyl-2-thioxodihydropyrimidine-4,6(1H,5H)-dione_count=29;0.0202;3-[(2E)-2-[1-(3,4-dimethoxyphenyl)ethylidene]hydrazinyl]benzoic acid_count=30;0.0226;4,4'-[(4-hydroxyphenyl)methanediyl]bis(2-heptyl-5-methyl-2 4-dihydro-3H-pyrazol-3-one)_count=31;0.0284;[(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)oxy]acetic acid_count=32;0.099;4,4'-(phenylmethanediyl)bis[2-(4-chlorophenyl)-5-methyl-2 4-dihydro-3H-pyrazol-3-one]_count=33;0.1;2-chloro-N-[5-([2-oxo-2-[(4-sulfamoylphenyl)amino]ethyl]sulfanyl)-1,3 4-thiadiazol-2-yl]acetamide_count=34;0.002;10H-indeno[2,1-e]tetrazolo[1,5-b][1,2,4]triazin-10-one_count=35;0.004;1,4-dioxo-1,2,3,4-tetrahydronaphthalen-2-yl 2,3,4-tri-O-acetylpentopyranoside_count=36	None	None
K7WYY0	Arthropoda	Eukaryota	Insecta	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; carboxylic acid metabolic process [GO:0019752]	carboxylic acid metabolic process [GO:0019752]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0019752; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	8.8;L-glutamate_count=2	8-8.5_count=1	37_count=1	0.001;carboxymethoxylamine_count=1;0.1;2,4-bis[2-(4-hydroxyphenyl)propan-2-yl]phenol_count=2;0.1;3-[(2E)-2-[1-(3,4-dimethoxyphenyl)ethylidene]hydrazinyl]benzoic acid_count=3;0.0015;methyl 2-amino-3-oxo-3H-phenothiazine-1-carboxylate_count=4;0.0018;N-[4,7-dioxo-6-(piperidin-1-yl)-4,7-dihydro-2,1 3-benzoxadiazol-5-yl]acetamide_count=5;0.0029;6,11-dioxo-5a,6,11,11a-tetrahydronaphtho[2',3':4,5][1,3]thiazolo[3 2-a]pyridin-12-ium_count=7;0.0034;4-(morpholin-4-yl)naphthalene-1,2-dione_count=8;0.0037;(5Z)-2-amino-5-(2-nitrobenzylidene)-1,3-thiazol-4(5H)-one_count=9;0.0038;4-(piperidin-1-yl)naphthalene-1,2-dione_count=10;0.0039;naphtho[2',3':4,5]imidazo[1,2-a]pyridine-6,11-dione_count=11;0.0053;1,4-dioxo-1,2,3,4-tetrahydronaphthalen-2-yl 2,3,4-tri-O-acetylpentopyranoside_count=12;0.0055;1-(2-nitrobenzyl)-1H-indole-3-carbaldehyde_count=13;0.0056;9H-indeno[1,2-b][1,2,5]oxadiazolo[3,4-e]pyrazin-9-one_count=14;0.0057;5,6-dichloro-2,1,3-benzothiadiazole-4,7-diol_count=15;0.0059;5-[(E)-[[1-(2-chlorobenzyl)-1H-indol-3-yl]methylidene]amino]-1 3-dihydro-2H-benzimidazol-2-one_count=16;0.0062;2-hydroxy-2-(2-hydroxy-6-oxocyclohex-2-en-1-yl)-1H-indene-1 3(2H)-dione_count=17;0.0062;biphenyl-3,3'-dicarbaldehyde_count=18;0.0062;methyl 2-[[(2-methylimidazo[1,2-a]pyridin-3-yl)carbonyl]amino]benzoate_count=19;0.0069;4-[(1,4-dioxo-1,2,3,4-tetrahydronaphthalen-2-yl)sulfanyl]butanoic acid_count=20;0.0082;2-[(3-formyl-1H-indol-1-yl)methyl]benzonitrile_count=21;0.0087;5-[(E)-benzylideneamino]-6-[(2-hydroxyethyl)amino]pyrimidine-2,4(1H 3H)-dione_count=22;0.0091;N-(2-hydroxy-1,3-dioxo-2,3-dihydro-1H-inden-2-yl)benzamide_count=23;0.0115;2-(benzylsulfanyl)-3-(morpholin-4-yl)-2,3-dihydronaphthalene-1 4-dione_count=24;0.0122;3-[(E)-(2,6-difluorobenzylidene)amino]-2-thioxo-1,3-thiazolidin-4-one_count=25;0.0139;2-thioxo-3-[(E)-(3,3,5-trimethylcyclohexylidene)amino]-1 3-thiazolidin-4-one_count=26;0.0144;5-[[5-hydroxy-3-methyl-1-(4-methylphenyl)-1H-pyrazol-4-yl]methylidene] 1,3-diphenyl-2-thioxodihydropyrimidine-4,6(1H,5H)-dione_count=27;0.0162;2-chloro-N-[5-([2-oxo-2-[(4-sulfamoylphenyl)amino]ethyl]sulfanyl)-1,3 4-thiadiazol-2-yl]acetamide_count=28;0.0165;2-[(2-chloro-5-nitrobenzoyl)amino]-5-iodobenzoic acid_count=29;0.0173;4,4'-[(4-hydroxyphenyl)methanediyl]bis(2-heptyl-5-methyl-2 4-dihydro-3H-pyrazol-3-one)_count=30;0.0196;3,3'-(4H-1,2,4-triazole-3,5-diyl)bis(4-nitro-1,2,5-oxadiazole)_count=31;0.0211;4-nitro-1,6-dihydrobenzo[1,2-d:3,4-d']bis[1,2,3]triazole_count=32;0.0218;4,4'-(phenylmethanediyl)bis[2-(4-chlorophenyl)-5-methyl-2 4-dihydro-3H-pyrazol-3-one]_count=33;0.0257;[(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)oxy]acetic acid_count=34;0.0274;(4Z,7E)-N,N'-dihydroxy-2,2-dimethyl-5,6-dihydro-2H-benzimidazole-4 7-diimine_count=35;0.0912;4-nitro-7-[[(1-phenyl-1H-tetrazol-5-yl)sulfanyl]methyl]-2,1 3-benzothiadiazole_count=36;0.0011;N-[4,7-dioxo-6-(phenylamino)-4,7-dihydro-2,1 3-benzoxadiazol-5-yl]acetamide_count=37	None	None
M1GCP8	Streptophyta	Eukaryota	Magnoliopsida	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	2.63;L-glutamate_count=1	6_count=1	40_count=1	None	None	None
K4HXK6	Firmicutes	Bacteria	Bacilli	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	3.6;L-glutamate_count=1	5.2_count=1	45_count=1	None	0.286;L-glutamate_count=1	None
