Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TS_DATA
D2SMM5	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_0_2_1;	CCHKTAN;	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
D2SMM6	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
D2SMM3	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
D2SMM2	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
D2SMM0	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
Q6UWM9	Chordata	Eukaryota	Mammalia	integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]; cellular glucuronidation [GO:0052695]	cellular glucuronidation [GO:0052695]	glucuronosyltransferase activity [GO:0015020]	integral component of membrane [GO:0016021]	GO:0015020; GO:0016021; GO:0052695	UDP-glucuronosyltransferase 2A3 (UDPGT 2A3) (EC 2.4.1.17)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_3_0_1;	MVGVPIF;	508327at2759;	PF00201;	None	None	0.044;hyodeoxycholic acid_count=2;0.069;hyodeoxycholic acid_count=3	None	None	37_count=1	None	None
Q9TSM0	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
Q9TSL9	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
Q9TSL7	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	0.151;7-hydroxy-4-trifluoromethylcoumarin_count=1	None	0.161;7-hydroxy-4-trifluoromethylcoumarin_count=1	None	None	None
P20720	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]; animal organ regeneration [GO:0031100]; bile acid secretion [GO:0032782]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; flavonoid glucuronidation [GO:0052696]; liver development [GO:0001889]; response to organic cyclic compound [GO:0014070]; vitamin D3 metabolic process [GO:0070640]; xenobiotic glucuronidation [GO:0052697]	animal organ regeneration [GO:0031100]; bile acid secretion [GO:0032782]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; flavonoid glucuronidation [GO:0052696]; liver development [GO:0001889]; response to organic cyclic compound [GO:0014070]; vitamin D3 metabolic process [GO:0070640]; xenobiotic glucuronidation [GO:0052697]	enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0001889; GO:0001972; GO:0005783; GO:0005789; GO:0008210; GO:0014070; GO:0015020; GO:0016021; GO:0019899; GO:0031100; GO:0032782; GO:0042803; GO:0052695; GO:0052696; GO:0052697; GO:0070640	UDP-glucuronosyltransferase 1-2 (UDPGT 1-2) (UGT1*2) (UGT1-02) (UGT1.2) (EC 2.4.1.17) (B2) (Bilirubin-specific UDPGT) (UDP-glucuronosyltransferase 1A2) (UGT1A2)	UDP-glycosyltransferase family	None	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
Q64638	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein homodimerization activity [GO:0042803]; cellular glucuronidation [GO:0052695]; cellular response to ethanol [GO:0071361]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hormone stimulus [GO:0032870]; liver development [GO:0001889]; response to organic cyclic compound [GO:0014070]; vitamin D3 metabolic process [GO:0070640]	cellular glucuronidation [GO:0052695]; cellular response to ethanol [GO:0071361]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hormone stimulus [GO:0032870]; liver development [GO:0001889]; response to organic cyclic compound [GO:0014070]; vitamin D3 metabolic process [GO:0070640]	enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein homodimerization activity [GO:0042803]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0001889; GO:0005783; GO:0005789; GO:0014070; GO:0015020; GO:0016021; GO:0019899; GO:0032870; GO:0042803; GO:0052695; GO:0070640; GO:0071361; GO:0071385	UDP-glucuronosyltransferase 1A5 (UGT1A5) (EC 2.4.1.17) (B5) (UDP-glucuronosyltransferase 1-5) (UDPGT 1-5) (UGT1*5) (UGT1-05) (UGT1.5)	UDP-glycosyltransferase family	None	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
Q62789	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]; androgen metabolic process [GO:0008209]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]	androgen metabolic process [GO:0008209]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0008209; GO:0008210; GO:0015020; GO:0016021; GO:0052695	UDP-glucuronosyltransferase 2B7 (UDPGT 2B7) (UGT2B7) (EC 2.4.1.17) (UGT2B-RH4)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
P08541	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]	cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0008210; GO:0015020; GO:0016021; GO:0052695	UDP-glucuronosyltransferase 2B2 (UDPGT 2B2) (EC 2.4.1.17) (3-hydroxyandrogen-specific UDPGT) (RLUG23) (UDPGTr-4)	UDP-glycosyltransferase family	KOG1192;	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
P35504	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; cellular glucuronidation [GO:0052695]	cellular glucuronidation [GO:0052695]	enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005783; GO:0005789; GO:0015020; GO:0016021; GO:0019899; GO:0052695	UDP-glucuronosyltransferase 1A5 (UGT1A5) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-5) (UDPGT 1-5) (UGT1*5) (UGT1-05) (UGT1.5) (UDP-glucuronosyltransferase 1-E) (UGT-1E) (UGT1E)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_1_3_1;	YMADACP;	None	PF00201;	None	None	None	None	None	None	None	None
P36537	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; UDP-glycosyltransferase activity [GO:0008194]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; lipid metabolic process [GO:0006629]	cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; lipid metabolic process [GO:0006629]	UDP-glycosyltransferase activity [GO:0008194]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0006629; GO:0008194; GO:0008210; GO:0016021; GO:0052695	UDP-glucuronosyltransferase 2B10 (UDPGT 2B10) (EC 2.4.1.17)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_3_0_1;	KVRHMET;	508327at2759;	PF00201;	None	None	0.0072;imipramine_count=2;0.0075;amitriptyline_count=3;0.0278;cotinine_count=4;0.037;diphenhydramine_count=5;35.07;ethanol_count=6	7.4_count=1	0.0099;kaempferol_count=2;0.0931;quercetin_count=3;0.13;amitriptyline_count=4;0.38;imipramine_count=5	37_count=1	0.00218;loratadine_count=1;0.00224;mianserin_count=2;0.00364;doxepin_count=3;0.00386;desloratadine_count=4;0.00645;amitriptyline_count=5;0.0104;kaempferol_count=6;0.0119;ketoconazole_count=7;0.026;clomipramine_count=8;0.031;mirtazapine_count=9;0.0326;trimipramine_count=10;0.0341;desipramine_count=11;0.0343;protriptyline_count=12;0.036;loxapine_count=13;0.0362;didesmethylimipramine_count=14;0.0428;imipramine_count=15;0.0437;desmethylnortriptyline_count=16;0.0439;quetiapine_count=17;0.0453;nortriptyline_count=18;0.0508;norclomipramine_count=19;0.0535;fluphenazine_count=20;0.0558;aripiprazole_count=21;0.0613;clozapine_count=22;0.0635;paroxetine_count=23;0.0662;perphenazine_count=24;0.0672;selegiline_count=25;0.0713;thioridazine_count=26;0.0724;fluoxetine_count=27;0.079;chlorpromazine_count=28;0.0812;duloxetine_count=29;0.0927;sertraline_count=30;0.0942;Phenelzine_count=31;0.168;niflumic acid_count=32;0.214;(-)-nicotine_count=33;0.218;oitalopram_count=34;0.22;Phenylbutazone_count=35;0.224;fluvoxamine_count=36;0.276;olanzapine_count=37;0.44;desvenlafaxine_count=38;1.136;fluconazole_count=39	None
P06133	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]	cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0008210; GO:0015020; GO:0016021; GO:0052695	UDP-glucuronosyltransferase 2B4 (UDPGT 2B4) (UGT2B4) (EC 2.4.1.17) (HLUG25) (Hyodeoxycholic acid-specific UDPGT) (UDPGTh-1)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_5_1_1;	WKFARTA;	508327at2759;	PF00201;	None	None	0.025;hyodeoxycholic acid_count=1;0.042;17-epiestriol_count=2	7.4_count=1;7.5_count=2	None	37_count=1	None	None
O75310	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; xenobiotic glucuronidation [GO:0052697]; xenobiotic metabolic process [GO:0006805]	cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; xenobiotic glucuronidation [GO:0052697]; xenobiotic metabolic process [GO:0006805]	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0006805; GO:0008210; GO:0015020; GO:0016021; GO:0052695; GO:0052697	UDP-glucuronosyltransferase 2B11 (UDPGT 2B11) (EC 2.4.1.17)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_0_2_1;	WINNALY;	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
P70624	Chordata	Eukaryota	Mammalia	integral component of membrane [GO:0016021]; UDP-glycosyltransferase activity [GO:0008194]	None	UDP-glycosyltransferase activity [GO:0008194]	integral component of membrane [GO:0016021]	GO:0008194; GO:0016021	UGT1A7	None	None	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
Q64634	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; fatty acid binding [GO:0005504]; glucuronosyltransferase activity [GO:0015020]; protein homodimerization activity [GO:0042803]; steroid binding [GO:0005496]; cellular glucuronidation [GO:0052695]; cellular response to organic cyclic compound [GO:0071407]; coumarin catabolic process [GO:0046226]; flavone metabolic process [GO:0051552]; flavonoid glucuronidation [GO:0052696]; liver development [GO:0001889]; protein glucuronidation [GO:0018411]; steroid metabolic process [GO:0008202]; xenobiotic glucuronidation [GO:0052697]	cellular glucuronidation [GO:0052695]; cellular response to organic cyclic compound [GO:0071407]; coumarin catabolic process [GO:0046226]; flavone metabolic process [GO:0051552]; flavonoid glucuronidation [GO:0052696]; liver development [GO:0001889]; protein glucuronidation [GO:0018411]; steroid metabolic process [GO:0008202]; xenobiotic glucuronidation [GO:0052697]	enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; fatty acid binding [GO:0005504]; glucuronosyltransferase activity [GO:0015020]; protein homodimerization activity [GO:0042803]; steroid binding [GO:0005496]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	GO:0001889; GO:0004857; GO:0005496; GO:0005504; GO:0005783; GO:0005789; GO:0008202; GO:0015020; GO:0016020; GO:0016021; GO:0018411; GO:0019899; GO:0042803; GO:0046226; GO:0051552; GO:0052695; GO:0052696; GO:0052697; GO:0071407	UDP-glucuronosyltransferase 1A8 (UGT1A8) (EC 2.4.1.17) (A3) (UDP-glucuronosyltransferase 1-8) (UDPGT 1-8) (UGT1*8) (UGT1-08) (UGT1.8)	UDP-glycosyltransferase family	KOG1192;	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
