Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
B6EPH0	Proteobacteria	Bacteria	Gammaproteobacteria	None	None	None	None	None	Putative metallo-beta-lactamase	None	COG1236;	3.60.15.10;	CLU_009673_5_0_6;	YLKAMLG;	580619at2;	PF10996;PF00753;PF07521;	SM01027;SM00849;	SSF56281;	0.006;nitrocefin_count=1;0.068;cefuroxime_count=2;0.017;ertapenem_count=3;0.037;ceftazidime_count=4;0.073;ertapenem_count=5;0.079;cefoxitin_count=6;0.142;meropenem_count=7;0.177;cefepime_count=8;0.933;Imipenem_count=9	8-8.3_count=1	None	35_count=1	None	0.09;ceftazidime_count=1;0.27;cefoxitin_count=2;0.58;cefepime_count=3;11.0;cefuroxime_count=4;13.0;meropenem_count=5;4.0;ertapenem_count=6;4.3;ertapenem_count=7;6.3;nitrocefin_count=8;8.0;Imipenem_count=9	None
B1MM83	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	None	None	None	None	None	Putative beta-lactamase	None	None	3.40.710.10;	None	FTTEYNH;	None	PF00144;	None	SSF56601;	None	None	None	None	None	None	None
E9RIT0	Proteobacteria	Bacteria	Gammaproteobacteria	None	None	None	None	None	Metallo-beta-lactamase	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	None	None	7.3e-05;2-[[5-(2-hydroxyphenyl)-4H-1,2 4-triazol-3-yl]sulfanyl]-N-phenylacetamide_count=1;0.00025;N-(1,3-benzothiazol-2-yl)-2-[[5-(2-hydroxyphenyl)-4H-1,2 4-triazol-3-yl]sulfanyl]acetamide_count=2;0.00025;N-phenyl-2-[[5-(pyridin-4-yl)-4H-1,2 4-triazol-3-yl]sulfanyl]acetamide_count=3;0.00033;N-(1,3-benzothiazol-2-yl)-2-[[5-(pyridin-4-yl)-1,3 4-thiadiazol-2-yl]sulfanyl]acetamide_count=4;0.00034;2-[[5-(2-hydroxyphenyl)-1,3 4-oxadiazol-2-yl]sulfanyl]-N-phenylacetamide_count=5;0.00034;N-(1,3-benzothiazol-2-yl)-2-[[5-(pyridin-4-yl)-4H-1,2 4-triazol-3-yl]sulfanyl]acetamide_count=6;0.00038;N-phenyl-2-[[5-(pyridin-4-yl)-1,3 4-thiadiazol-2-yl]sulfanyl]acetamide_count=7;0.00039;N-phenyl-2-[[5-(pyridin-4-yl)-1,3 4-thiadiazol-2-yl]sulfanyl]acetamide_count=8;0.00043;N-phenyl-2-[[5-(pyridin-4-yl)-1,3,4-oxadiazol-2-yl]sulfanyl]acetamide_count=9;0.00051;2-[[5-(2-hydroxyphenyl)-1,3 4-thiadiazol-2-yl]sulfanyl]-N-phenylacetamide_count=10;0.00051;N-phenyl-2-[[5-(pyridin-4-yl)-1,3,4-oxadiazol-2-yl]sulfanyl]acetamide_count=11;0.00054;N-phenyl-2-[[5-(pyridin-4-yl)-4H-1,2 4-triazol-3-yl]sulfanyl]acetamide_count=12;0.00065;N-(1,3-benzothiazol-2-yl)-2-[[5-(2-hydroxyphenyl)-1,3 4-oxadiazol-2-yl]sulfanyl]acetamide_count=13;0.00082;N-(1,3-benzothiazol-2-yl)-2-[[5-(pyridin-4-yl)-1,3 4-oxadiazol-2-yl]sulfanyl]acetamide_count=14;0.00086;N-(1,3-benzothiazol-2-yl)-2-[[5-(pyridin-3-yl)-4H-1,2 4-triazol-3-yl]sulfanyl]acetamide_count=15;0.001;N-(1,3-benzothiazol-2-yl)-2-[[5-(pyridin-3-yl)-1,3 4-oxadiazol-2-yl]sulfanyl]acetamide_count=16;0.0014;N-(1,3-benzothiazol-2-yl)-2-[[5-(pyridin-3-yl)-1,3 4-thiadiazol-2-yl]sulfanyl]acetamide_count=17;0.0018;N-(1,3-benzothiazol-2-yl)-2-[[5-(2-hydroxyphenyl)-1,3 4-thiadiazol-2-yl]sulfanyl]acetamide_count=18	None	None	None	None
P25910	Bacteroidetes	Bacteria	Bacteroidia	periplasmic space [GO:0042597]; beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]; antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]	periplasmic space [GO:0042597]	GO:0008270; GO:0008800; GO:0017001; GO:0042597; GO:0046677	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase II) (Carbapenem and cephamycin resistance) (CCRA) (Cephalosporinase) (Imipenem-cefoxitin hydrolyzing enzyme) (Metallo-beta-lactamase type II) (Penicillinase) (Zinc-requiring beta-lactamase)	Metallo-beta-lactamase superfamily, Class-B beta-lactamase family	None	3.60.15.10;	None	None	None	None	SM00849;	SSF56281;	None	None	0.0003;2-[[5-(2-hydroxyphenyl)-4H-1,2 4-triazol-3-yl]sulfanyl]-N-phenylacetamide_count=1;0.0063;N-(1,3-benzothiazol-2-yl)-2-[[5-(2-hydroxyphenyl)-4H-1,2 4-triazol-3-yl]sulfanyl]acetamide_count=2;0.007;N-(1,3-benzothiazol-2-yl)-2-[[5-(2-hydroxyphenyl)-1,3 4-oxadiazol-2-yl]sulfanyl]acetamide_count=3;0.0085;N-(1,3-benzothiazol-2-yl)-2-[[5-(pyridin-4-yl)-4H-1,2 4-triazol-3-yl]sulfanyl]acetamide_count=4;0.052;2-[[5-(2-hydroxyphenyl)-1,3 4-oxadiazol-2-yl]sulfanyl]-N-phenylacetamide_count=5	None	None	None	None
I6S7G0	Proteobacteria	Bacteria	Gammaproteobacteria	penicillin binding [GO:0008658]	None	penicillin binding [GO:0008658]	None	GO:0008658	Beta-lactamase OXA-229	None	None	3.40.710.10;	None	None	None	PF00905;	None	SSF56601;	3e-05;meropenem_count=1;0.029;piperacillin_count=2;0.03;Imipenem_count=3;0.127;ampicillin_count=4;0.165;Cephalothin_count=5;0.343;ticarcillin_count=6;0.405;amoxicillin_count=7;1.85;Oxacillin_count=8	None	None	None	None	0.09;Imipenem_count=1;0.01;meropenem_count=2;0.2;Cephalothin_count=3;1.7;ticarcillin_count=4;11.0;benzylpenicillin_count=5;15.2;amoxicillin_count=6;2.2;piperacillin_count=7;4.2;Oxacillin_count=8;1.0;ampicillin_count=9	None
Q8KRJ3	Proteobacteria	Bacteria	Gammaproteobacteria	metal ion binding [GO:0046872]	None	metal ion binding [GO:0046872]	None	GO:0046872	Beta-lactamase VIM-4 (Metallo-beta-lactamase) (Metallo-beta-lactamase VIM-4) (VIM-4)	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	0.18;benzylpenicillin_count=1;0.008;meropenem_count=2;0.003;Imipenem_count=3;0.011;cefuroxime_count=4;0.014;cephalotin_count=5;0.031;carbenicillin_count=6;0.066;biapenem_count=7;3.0;ampicillin_count=8;0.022;nitrocefin_count=9	None	None	None	None	120.0;cefuroxime_count=1;15.0;biapenem_count=2;210.0;ampicillin_count=3;500.0;cephalotin_count=4;690.0;nitrocefin_count=5;7.0;meropenem_count=6;70.0;Imipenem_count=7;100.0;carbenicillin_count=8;650.0;benzylpenicillin_count=9	44.4_count=1;56.6_count=2;58.5_count=3
Q9RMI1	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]; antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]	None	GO:0008270; GO:0008800; GO:0017001; GO:0046677	Beta-lactamase (EC 3.5.2.6)	Metallo-beta-lactamase superfamily, Class-B beta-lactamase family	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	0.0792;Imipenem_count=1;0.091;moxalactam_count=2;0.099;cefoxitin_count=3;0.106;nitrocefin_count=4;0.202;cefepime_count=5;0.215;meropenem_count=6;0.676;ampicillin_count=7;1.28;carbenicillin_count=8	None	None	None	None	0.017;moxalactam_count=1;0.032;cefoxitin_count=2;0.06;nitrocefin_count=3;0.64;cefepime_count=4;109.0;meropenem_count=5;51.0;Imipenem_count=6;9.15;carbenicillin_count=7;9.5;ampicillin_count=8	None
Q5U807	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]; antibiotic catabolic process [GO:0017001]	antibiotic catabolic process [GO:0017001]	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]	None	GO:0008270; GO:0008800; GO:0017001	IMP-18 (Metallo beta-lactamase) (Metallo-beta-lactamase IMP-18)	Metallo-beta-lactamase superfamily, Class-B beta-lactamase family	None	3.60.15.10;	None	None	None	None	SM00849;	SSF56281;	0.0001;cephalotin_count=1;0.0008;cefepime_count=2;0.00084;meropenem_count=3;0.0013;ceftazidime_count=4;0.0026;ertapenem_count=5;0.003;cefotaxime_count=6;0.007;Imipenem_count=7;0.011;cefoxitin_count=8;0.09;benzylpenicillin_count=9;0.103;ampicillin_count=10;0.18;ticarcillin_count=11;0.009;nitrocefin_count=12;0.007;cefuroxime_count=13	None	None	None	None	0.03;ertapenem_count=1;0.35;cefepime_count=2;0.4;cephalotin_count=3;0.7;cefotaxime_count=4;0.9;cefuroxime_count=5;17.0;Imipenem_count=6;2.0;cefoxitin_count=7;30.0;ticarcillin_count=8;54.0;benzylpenicillin_count=9;55.0;nitrocefin_count=10;65.0;ampicillin_count=11;0.05;meropenem_count=12;1.0;ceftazidime_count=13	None
G9M9P7	Bacteroidetes	Bacteria	Flavobacteriia	beta-lactamase activity [GO:0008800]; beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]	None	GO:0008800; GO:0030655; GO:0046677	Beta-lactamase class A (Extended-spectrum beta-lactamase)	None	None	3.40.710.10;	None	None	991474at2;	PF13354;	None	SSF56601;	None	None	None	None	None	None	None
Q8KQ59	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]	None	GO:0008800; GO:0030655; GO:0046677	Beta-lactamase (EC 3.5.2.6)	Class-A beta-lactamase family	None	3.40.710.10;	None	None	None	PF13354;	None	SSF56601;	0.001;ampicillin_count=2;0.003;piperacillin_count=3;0.01;cephalotin_count=4;0.017;aztreonam_count=5;0.034;cefuroxime_count=6;0.086;ceftazidime_count=7;0.022;cefotaxime_count=8;0.026;cefepime_count=9	None	None	None	None	5.0;ampicillin_count=1;1.0;cephalotin_count=2;11.0;piperacillin_count=3;2.0;aztreonam_count=4;2.0;cefuroxime_count=5;3.0;cefepime_count=6;3.0;cefotaxime_count=7;72.0;nitrocefin_count=8;15.0;ceftazidime_count=9	None
Q7WYA8	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]; antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]	None	GO:0008270; GO:0008800; GO:0017001; GO:0046677	Beta-lactamase (EC 3.5.2.6)	Metallo-beta-lactamase superfamily, Class-B beta-lactamase family	None	3.60.15.10;	None	None	None	None	SM00849;	SSF56281;	0.021;cefotaxime_count=1;0.0008;ertapenem_count=2;0.008;cefepime_count=3;0.01;meropenem_count=4;0.012;cefoxitin_count=5;0.031;cephalotin_count=6;0.049;Imipenem_count=7;0.13;ticarcillin_count=8;0.15;piperacillin_count=9;0.21;ampicillin_count=10;0.001;cefuroxime_count=11;0.015;ceftazidime_count=12	None	None	None	None	9.0;ceftazidime_count=1;1.4;meropenem_count=2;1.8;ertapenem_count=3;12.0;cefepime_count=4;220.0;ticarcillin_count=5;23.0;cefuroxime_count=6;25.0;cephalotin_count=7;280.0;piperacillin_count=8;33.0;cefotaxime_count=9;35.0;cefoxitin_count=10;82.0;ampicillin_count=11;120.0;Imipenem_count=12	None
Q970L2	Crenarchaeota	Archaea	Thermoprotei	zinc ion binding [GO:0008270]	None	zinc ion binding [GO:0008270]	None	GO:0008270	Metallo-beta-lactamase fold-containing protein ST1585 (Putative quorum sensing signal protein STK_15850)	Metallo-beta-lactamase superfamily	arCOG00505;	3.60.15.10;	None	GPRYIAY;	50620at2157;	PF00753;	SM00849;	SSF56281;	None	None	None	None	None	None	None
E7BCS7	Proteobacteria	Bacteria	Betaproteobacteria	beta-lactamase activity [GO:0008800]; penicillin binding [GO:0008658]; antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]; penicillin binding [GO:0008658]	None	GO:0008658; GO:0008800; GO:0017001; GO:0046677	Beta-lactamase (EC 3.5.2.6)	Class-D beta-lactamase family	None	3.40.710.10;	None	None	None	PF00905;	None	SSF56601;	0.009;cefuroxime_count=2;0.031;ertapenem_count=3;0.069;cefoxitin_count=4;0.072;piperacillin_count=5;0.075;meropenem_count=6;0.027;ampicillin_count=7;0.031;ceftazidime_count=8	None	None	None	None	0.01;aztreonam_count=1;0.07;ceftazidime_count=2;0.1;cefuroxime_count=3;0.4;ertapenem_count=4;1.7;Imipenem_count=5;3.3;piperacillin_count=6;1.4;meropenem_count=7;3.3;ampicillin_count=8;0.3;cefoxitin_count=9	None
P0A3M1	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]	None	GO:0008800; GO:0030655; GO:0046677	Beta-lactamase SHV-5 (EC 3.5.2.6)	Class-A beta-lactamase family	None	3.40.710.10;	None	None	None	PF13354;	None	SSF56601;	None	None	None	None	0.00057;4,7-dichlorobenzothien-2-yl-sulfonylaminomethylboronic acid_count=1	None	None
