Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
C0STY2	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.166;L-arginine_count=1;0.179;L-arginine_count=2;0.278;ATP_count=3;0.302;L-arginine_count=4;0.34;ATP_count=5;0.422;ATP_count=6;0.439;L-arginine_count=7;0.454;ATP_count=8;0.456;L-arginine_count=9;0.465;ATP_count=10;0.538;L-arginine_count=11;0.779;L-arginine_count=12	None	None	None	170.0;L-arginine_count=1;183.0;L-arginine_count=2;244.0;L-arginine_count=3;272.0;L-arginine_count=4;343.0;L-arginine_count=5;459.0;L-arginine_count=6	None
A0A0F6WMX1	None	None	None	None	None	None	None	None	Merged into A0A7U4M085.	None	None	None	None	None	None	None	None	None	0.071;ATP_count=1;0.401;L-arginine_count=2	8_count=1	25_count=1	None	88.0;ATP_count=1;88.0;L-arginine_count=2	None
H6VGI2	Arthropoda	Eukaryota	Malacostraca	arginine binding [GO:0034618]; arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine binding [GO:0034618]; arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0034618; GO:0046314	Arginine kinase Pro c 2.0101 (AK) (EC 2.7.3.3) (allergen Pro c 2.0101)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	30-44_count=1
K0DG62	Nematoda (roundworms)	Eukaryota	Chromadorea	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.9;ATP_count=1	7.5_count=1	30_count=1	None	None	None
K0DDQ9	Nematoda (roundworms)	Eukaryota	Chromadorea	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.3;L-arginine_count=1;0.8;ATP_count=2	7.5_count=1	30_count=1	None	None	None
U3T2Y2	Ciliophora	Eukaryota	Oligohymenophorea	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase 2	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.73;ATP_count=1	8_count=1	25_count=1	None	63.4;ATP_count=1;63.4;L-arginine_count=2	None
U3T1K4	Ciliophora	Eukaryota	Oligohymenophorea	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase 1	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.26;L-arginine_count=1;0.73;ATP_count=2	8_count=1	25_count=1	None	104.0;ATP_count=1;104.0;L-arginine_count=2	None
Q27535	Nematoda (roundworms)	Eukaryota	Chromadorea	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016301; GO:0016310; GO:0046314	Probable arginine kinase ZC434.8 (AK) (EC 2.7.3.3)	ATP:guanido phosphotransferase family	KOG3581;	1.10.135.10;	CLU_019868_0_0_1;	EMHDGIK;	825025at2759;	PF00217;PF02807;	None	SSF48034;SSF55931;	0.16;ATP_count=1;0.41;L-arginine_count=2	8_count=1	25_count=1	None	180.0;ATP_count=1;180.0;L-arginine_count=2	None
Q10454	Nematoda (roundworms)	Eukaryota	Chromadorea	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016301; GO:0016310; GO:0046314	Probable arginine kinase F46H5.3 (AK) (EC 2.7.3.3)	ATP:guanido phosphotransferase family	KOG3581;	1.10.135.10;	None	EYHNGFG;	825025at2759;	PF00217;PF02807;	None	SSF48034;SSF55931;	0.35;ATP_count=1;0.37;L-arginine_count=2	8_count=1	25_count=1	None	11.4;ATP_count=1;11.4;L-arginine_count=2	None
E2JE77	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	8.5_count=1	30_count=1	None	None	None
Q4KY22	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
H9BZ68	Arthropoda	Eukaryota	Insecta	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.594;L-Arg_count=1;0.603;L-Arg_count=2;1.166;Nomega-phospho-L-Arg_count=3;1.432;Nomega-phospho-L-Arg_count=4;2.796;L-arginine ethyl ester_count=5	None	None	None	None	None
D5FLG2	Nematoda (roundworms)	Eukaryota	Chromadorea	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.126;L-Arg_count=2;0.654;ATP_count=6	None	None	None	45.9;L-Arg_count=4	None
Q1DA50	Proteobacteria	Bacteria	Deltaproteobacteria	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]; regulation of reproductive fruiting body development [GO:0031155]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]; regulation of reproductive fruiting body development [GO:0031155]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0031155; GO:0046314	Putative arginine kinase	ATP:guanido phosphotransferase family	COG3869;	1.10.135.10;	CLU_019868_0_0_7;	IIMQERV;	904915at2;	PF00217;PF02807;	None	SSF48034;SSF55931;	2.1;Nomega-phospho-L-Arg_count=1	None	None	None	0.093;Nomega-phospho-L-Arg_count=1	None
O61367	Arthropoda	Eukaryota	Insecta	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (AK) (EC 2.7.3.3)	ATP:guanido phosphotransferase family	KOG3581;	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
P51541	Arthropoda	Eukaryota	Merostomata (horseshoe crabs)	cytoplasm [GO:0005737]; arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	cytoplasm [GO:0005737]	GO:0004054; GO:0004111; GO:0005524; GO:0005737; GO:0016310; GO:0046314	Arginine kinase (AK) (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	825025at2759;	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
O15992	Cnidaria	Eukaryota	Anthozoa (anthozoans)	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (AK) (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
O96507	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (AK) (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
Q2F5T5	Arthropoda	Eukaryota	Insecta	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	CLU_019868_0_1_1;	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
B0FRF9	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase Lit v 2 (EC 2.7.3.3) (Arginine kinase) (AK) (allergen Lit v 2)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
B1PVZ9	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; female gonad development [GO:0008585]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	female gonad development [GO:0008585]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0008585; GO:0016310; GO:0046314	Arginine kinase Met e 2 (AK) (EC 2.7.3.3) (allergen Met e 2)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	1.59;L-Arg_count=1;2.33;ATP_count=2	8.5_count=1	30_count=1	None	None	None
B3TNF5	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNE5	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
