Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_TN	BRENDA_TS_DATA
A0A1C3HPQ3	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.549;O2_count=1;0.0096;CO2_count=2;0.0132;CO2_count=3;0.0196;CO2_count=4;0.0075;CO2_count=5;0.0286;CO2_count=6;0.518;O2_count=7;0.66;O2_count=8;0.0182;CO2_count=9	None	None	2.5;CO2_count=1;4.1;CO2_count=2;1.3;CO2_count=3	None
A0A1C3HPP1	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0203;CO2_count=1;0.0257;CO2_count=2;0.665;O2_count=3;0.0332;CO2_count=4;0.573;O2_count=5;0.0138;CO2_count=6;0.0267;CO2_count=7;0.967;O2_count=8;0.0184;CO2_count=9	None	None	3.6;CO2_count=1;5.9;CO2_count=2;2.3;CO2_count=3	None
A0A1C3HPP3	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.403;O2_count=1;0.0102;CO2_count=2;0.0152;CO2_count=3;0.0128;CO2_count=4;0.0214;CO2_count=5;0.284;O2_count=6;0.0138;CO2_count=8;0.022;CO2_count=9	None	None	4.6;CO2_count=1;1.9;CO2_count=3	None
A0A1C3HPP4	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0107;CO2_count=1;0.0156;CO2_count=2;0.452;O2_count=3;0.0167;CO2_count=4;0.0163;CO2_count=5;0.0239;CO2_count=6;0.53;O2_count=7;0.534;O2_count=8;0.0242;CO2_count=9	None	None	3.6;CO2_count=1;2.0;CO2_count=2;5.3;CO2_count=3	None
A0A1C3HPN7	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.004;CO2_count=1;0.0069;CO2_count=2;0.0336;CO2_count=3;0.0501;CO2_count=4;0.264;O2_count=5;0.394;O2_count=6;0.545;O2_count=7;0.0142;CO2_count=8;0.0217;CO2_count=9	None	None	5.8;CO2_count=1;3.3;CO2_count=2;1.7;CO2_count=3	None
A0A1C3HPU3	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0156;CO2_count=1;0.0099;CO2_count=2;0.0124;CO2_count=3;0.0203;CO2_count=4;0.0238;CO2_count=5;0.333;O2_count=6;0.436;O2_count=7	None	None	3.7;CO2_count=1;1.3;CO2_count=2;2.2;CO2_count=3	None
A0A1C3HPT8	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0201;CO2_count=1;0.015;CO2_count=2;0.0196;CO2_count=3;0.598;O2_count=4;0.0137;CO2_count=5;0.0211;CO2_count=6;0.565;O2_count=7;2.03;O2_count=8;0.0217;CO2_count=9	None	None	1.5;CO2_count=1;4.5;CO2_count=2;2.2;CO2_count=3	None
A0A1C3HPU0	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0122;CO2_count=1;0.789;O2_count=2;0.0159;CO2_count=3;0.0251;CO2_count=4;0.0238;CO2_count=5;0.0154;CO2_count=6;0.438;O2_count=7;0.481;O2_count=8;0.0184;CO2_count=9	None	None	1.6;CO2_count=1;2.2;CO2_count=2;4.2;CO2_count=3	None
A0A1C3HPN1	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0201;CO2_count=1;0.0335;CO2_count=2;0.0101;CO2_count=3;0.0067;CO2_count=4;0.0194;CO2_count=5;0.0304;CO2_count=6;0.34;O2_count=7;0.39;O2_count=8;0.51;O2_count=9	None	None	2.5;CO2_count=1;1.6;CO2_count=2;4.0;CO2_count=3	None
A0A1C3HPM8	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0135;CO2_count=1;0.0106;CO2_count=2;0.767;O2_count=3;0.0265;CO2_count=4;0.039;CO2_count=5;0.0287;CO2_count=6;0.0189;CO2_count=7;0.532;O2_count=8;0.544;O2_count=9	None	None	1.8;CO2_count=2;5.5;CO2_count=3	None
A0A1C3HPQ1	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0135;CO2_count=1;0.0299;CO2_count=2;0.0228;CO2_count=3;0.0158;CO2_count=4;0.336;O2_count=5;0.0178;CO2_count=6;0.337;O2_count=7;0.396;O2_count=8;0.0272;CO2_count=9	None	None	3.4;CO2_count=1;2.2;CO2_count=2;5.0;CO2_count=3	None
A0A1C3HPP8	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0164;CO2_count=1;0.0192;CO2_count=2;0.0241;CO2_count=3;0.797;O2_count=4;0.0277;CO2_count=5;0.0198;CO2_count=6;0.547;O2_count=7;0.62;O2_count=8;0.0167;CO2_count=9	None	None	4.7;CO2_count=1;3.4;CO2_count=2;2.0;CO2_count=3	None
A0A1C3HPQ9	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0156;CO2_count=1;0.032;CO2_count=2;0.015;CO2_count=3;0.0196;CO2_count=4;0.0103;CO2_count=5;0.0232;CO2_count=6;0.482;O2_count=7;0.566;O2_count=8;0.645;O2_count=9	None	None	2.4;CO2_count=1;1.5;CO2_count=2;4.5;CO2_count=3	None
A0A1C3HPP0	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RuBisCO large chain family, Type I subfamily	None	3.20.20.110;3.30.70.150;	None	None	None	PF00016;PF02788;	None	SSF51649;SSF54966;	0.0259;CO2_count=1;0.0169;CO2_count=2;0.0251;CO2_count=3;0.0258;CO2_count=4;0.546;O2_count=5;0.902;O2_count=6;0.587;O2_count=7;0.0377;CO2_count=8;0.0327;CO2_count=9	None	None	2.5;CO2_count=1;4.5;CO2_count=2;6.2;CO2_count=3	None
