Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
A1KU15	Proteobacteria	Bacteria	Betaproteobacteria	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	CLU_022552_2_2_4;	MGYCGAK;	532857at2;	PF00571;PF00478;	SM00116;	SSF54631;	0.05;IMP_count=2;0.269;NAD+_count=3;0.315;IMP_count=4;0.477;NAD+_count=5	8_count=1	None	30_count=1	None	None	None
Q5ZUR9	Proteobacteria	Bacteria	Gammaproteobacteria	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	COG0516;COG0517;	3.20.20.70;	CLU_022552_2_2_6;	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;	0.998;NAD+_count=2;1.762;NAD+_count=3;0.039;IMP_count=4;0.052;IMP_count=5	10_count=1	None	30_count=1	None	None	49-67_count=1
I3WTS0	Apicomplexa	Eukaryota	Aconoidasida	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	SSF54631;	0.0082;Inosine 5'-diphosphate_count=1;0.36;NAD+_count=2	8_count=1	0.021;Mycophenolic acid_count=1	None	None	None	None
F1DBB2	Ascomycota	Eukaryota	Eurotiomycetes	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]; self-resistance to endogenously produced metabolite [GO:0140729]	GMP biosynthetic process [GO:0006177]; self-resistance to endogenously produced metabolite [GO:0140729]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872; GO:0140729	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205) (Mycophenolic acid biosynthesis cluster protein F)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	SSF54631;	None	None	None	None	None	None	None
Q81W29	None	None	None	None	None	None	None	None	Merged into A0A6L8P2U9.	None	None	None	None	None	None	None	None	None	0.55;NAD+_count=2;0.018;Inosine 5'-diphosphate_count=3;0.12;IMP_count=4;0.148;IMP_count=5;1.994;NAD+_count=6;2.209;NAD+_count=7	8.2_count=1;9_count=2	3.9;NAD+_count=1;0.0039;Mycophenolic acid_count=2;0.0048;Mycophenolic acid_count=3;0.218;xanthosine 5'-phosphate_count=4	30_count=1	5.7e-05;4-[(1R)-1-[1-(4-chlorophenyl)-1H-1,2,3-triazol-4-yl]ethoxy]quinoline 1-oxide_count=1;5.7e-05;N-(naphthalen-2-yl)-2-[2-(pyridin-2-yl)-1H-benzimidazol-1 yl]acetamide_count=2	1.4;Inosine 5'-diphosphate_count=1	None
Q9HXM5	Proteobacteria	Bacteria	Gammaproteobacteria	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]	None	GO:0003938; GO:0005524; GO:0006177; GO:0006183; GO:0042802; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	CLU_022552_2_2_6;	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;	None	None	None	30_count=1	None	None	None
Q387Q3	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	cytoplasm [GO:0005737]; glycosome [GO:0020015]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]; purine ribonucleotide biosynthetic process [GO:0009152]	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]; purine ribonucleotide biosynthetic process [GO:0009152]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; glycosome [GO:0020015]	GO:0003938; GO:0005737; GO:0006177; GO:0006183; GO:0009152; GO:0020015; GO:0046872	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	IMPDH/GMPR family	KOG2550;	3.20.20.70;	None	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;	0.03;Inosine 5'-diphosphate_count=1;1.3;NAD+_count=2	8.5_count=1	0.0032;ribavirin 5'-monophosphate_count=1;0.0033;mizoribine 5'-monophosphate_count=2;3.0;NAD+_count=3;0.021;Mycophenolic acid_count=4	None	None	0.28;Inosine 5'-diphosphate_count=1	None
P42851	Euryarchaeota	Archaea	Thermococci	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	arCOG00612;	3.20.20.70;	CLU_022552_2_1_2;	MGYCGAK;	58700at2157;	PF00571;PF00478;	SM00116;	SSF54631;	None	None	None	None	None	None	None
Q59Q46	Ascomycota	Eukaryota	Saccharomycetes	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; cellular response to starvation [GO:0009267]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms in response to biotic stimulus [GO:0036180]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]; induction by symbiont of host defense response [GO:0044416]	cellular response to starvation [GO:0009267]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms in response to biotic stimulus [GO:0036180]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]; induction by symbiont of host defense response [GO:0044416]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0006183; GO:0009267; GO:0030447; GO:0036170; GO:0036180; GO:0044416; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	KOG2550;	3.20.20.70;	CLU_022552_2_1_1;	MGYCGAK;	618077at2759;	PF00571;PF00478;	SM00116;	SSF54631;	None	None	None	None	None	None	None
E3P6S3	Basidiomycota	Eukaryota	Tremellomycetes	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	SSF54631;	None	None	None	None	None	None	None
P24547	Chordata	Eukaryota	Mammalia	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; 'de novo' XMP biosynthetic process [GO:0097294]; cellular response to interleukin-4 [GO:0071353]; circadian rhythm [GO:0007623]; GMP biosynthetic process [GO:0006177]; GMP salvage [GO:0032263]; GTP biosynthetic process [GO:0006183]; lymphocyte proliferation [GO:0046651]; purine nucleotide biosynthetic process [GO:0006164]; retina development in camera-type eye [GO:0060041]	'de novo' XMP biosynthetic process [GO:0097294]; cellular response to interleukin-4 [GO:0071353]; circadian rhythm [GO:0007623]; GMP biosynthetic process [GO:0006177]; GMP salvage [GO:0032263]; GTP biosynthetic process [GO:0006183]; lymphocyte proliferation [GO:0046651]; purine nucleotide biosynthetic process [GO:0006164]; retina development in camera-type eye [GO:0060041]	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	GO:0000166; GO:0003677; GO:0003723; GO:0003938; GO:0005634; GO:0005737; GO:0005829; GO:0006164; GO:0006177; GO:0006183; GO:0007623; GO:0032263; GO:0042802; GO:0046651; GO:0046872; GO:0060041; GO:0071353; GO:0097294	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (IMPDH-II)	IMPDH/GMPR family	KOG2550;	3.20.20.70;	None	HDYHMTL;	618077at2759;	PF00571;PF00478;	SM00116;	None	0.0509;inosine 5'-phosphate_count=1	None	0.0997;curcumin_count=1	None	None	None	None
P49058	Spirochaetes	Bacteria	Spirochaetia	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]	None	GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	CLU_022552_5_3_12;	MGYCGAK;	None	PF00478;	None	None	None	None	None	None	None	None	None
Q12658	Ascomycota	Eukaryota	Pneumocystidomycetes	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	SSF54631;	None	None	None	None	None	None	None
P0C0H6	Firmicutes	Bacteria	Bacilli	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	COG0516;COG0517;	3.20.20.70;	None	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;	None	None	None	None	None	None	None
P50098	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	glycosome [GO:0020015]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	glycosome [GO:0020015]	GO:0000166; GO:0003938; GO:0006177; GO:0020015; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	None	None	None	None	None	None	None	None
P21620	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	glycosome [GO:0020015]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	glycosome [GO:0020015]	GO:0000166; GO:0003938; GO:0006177; GO:0020015; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;	None	None	None	None	None	None	None
