Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN
Q88IJ6	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_6;	EGAMCER;	None	PF01220;	None	SSF52304;	0.6173;3-dehydroquinate_count=1	None	None	None	None	78.87;3-dehydroquinate_count=1
M1E6S9	Firmicutes	Bacteria	Clostridia	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_2_0_9;	None	1872106at2;	PF01220;	None	SSF52304;	0.1807;3-dehydroquinate_count=1	None	None	None	None	6.88;3-dehydroquinate_count=1
D4LCT8	Firmicutes	Bacteria	Clostridia	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	None	3.40.50.9100;	CLU_090968_2_0_9;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;	0.2555;3-dehydroquinate_count=1	None	None	None	None	50.2;3-dehydroquinate_count=1
B2A551	Firmicutes	Bacteria	Clostridia	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_9;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;	0.3045;3-dehydroquinate_count=1	None	None	None	None	3.8;3-dehydroquinate_count=1
G8M0G7	Firmicutes	Bacteria	Clostridia	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_9;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;	0.3685;3-dehydroquinate_count=1	None	None	None	None	59.61;3-dehydroquinate_count=1
E4RLB7	Firmicutes	Bacteria	Clostridia	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_9;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;	0.5261;3-dehydroquinate_count=1	None	None	None	None	75.11;3-dehydroquinate_count=1
P05194	Proteobacteria	Bacteria	Gammaproteobacteria	cytosol [GO:0005829]; 3-dehydroquinate dehydratase activity [GO:0003855]; 3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	cytosol [GO:0005829]	GO:0003855; GO:0005829; GO:0008652; GO:0009073; GO:0009423; GO:0046279	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Type-I 3-dehydroquinase family	COG0710;	3.20.20.70;	CLU_064444_0_0_6;	ATMAMGE;	None	PF01487;	None	None	0.1877;3-dehydroquinate_count=1	None	None	None	None	29.53;3-dehydroquinate_count=1
D4S0D1	Firmicutes	Bacteria	Clostridia	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_3_0_9;	None	1872106at2;	PF01220;	None	SSF52304;	0.0679;3-dehydroquinate_count=1	None	None	None	None	42.2;3-dehydroquinate_count=1
B7DR33	None	None	None	None	None	None	None	None	Deleted.	None	None	None	None	None	None	None	None	None	0.6016;3-dehydroquinate_count=1	None	None	None	None	119.98;3-dehydroquinate_count=1
A0A0F6BKL7	None	None	None	None	None	None	None	None	Deleted.	None	None	None	None	None	None	None	None	None	0.134;3-dehydroquinate_count=1	None	None	None	None	5.33;3-dehydroquinate_count=1
P54517	Firmicutes	Bacteria	Bacilli	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; quinate catabolic process [GO:0019631]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; quinate catabolic process [GO:0019631]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0019631	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	None	AYTHYSY;	None	PF01220;	None	SSF52304;	0.1071;3-dehydroquinate_count=1	None	None	None	None	10.46;3-dehydroquinate_count=1
B9CK59	Actinobacteria	Bacteria	Coriobacteriia	3-dehydroquinate dehydratase activity [GO:0003855]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	3-dehydroquinate dehydratase activity [GO:0003855]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]	None	GO:0003855; GO:0008652; GO:0008982; GO:0009073; GO:0009401; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;COG1264;	3.30.1360.60;3.40.50.9100;	None	None	1872106at2;	PF01220;PF00367;	None	SSF52304;SSF55604;	0.4008;3-dehydroquinate_count=1	None	None	None	None	9.06;3-dehydroquinate_count=1
D1A7X0	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_2_1_11;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;	1.2186;3-dehydroquinate_count=1	None	None	None	None	11.92;3-dehydroquinate_count=1
A0A124C1Y7	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	None	None	None	PF01220;	None	SSF52304;	0.1415;3-dehydroquinate_count=1	None	None	None	None	211.83;3-dehydroquinate_count=1
I0L192	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	None	None	1872106at2;	PF01220;	None	SSF52304;	0.1599;3-dehydroquinate_count=1	None	None	None	None	4.63;3-dehydroquinate_count=1
N1V364	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	integral component of membrane [GO:0016021]; 3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	integral component of membrane [GO:0016021]	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0016021	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	None	3.40.50.9100;	None	None	None	PF01220;	None	SSF52304;	0.4485;3-dehydroquinate_count=1	None	None	None	None	184.43;3-dehydroquinate_count=1
Q9PH97	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	None	PF01220;	None	SSF52304;	0.1588;3-dehydroquinate_count=1	None	None	None	None	7.15;3-dehydroquinate_count=1
W6JLW3	Proteobacteria	Bacteria	Alphaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	None	3.40.50.9100;	None	None	None	PF01220;	None	SSF52304;	None	None	None	None	None	None
P58687	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; 3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0046279	3-dehydroquinate dehydratase (3-dehydroquinase) (DHQD) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Type-I 3-dehydroquinase family	None	3.20.20.70;	CLU_064444_0_0_6;	ATMAMGE;	None	PF01487;	None	None	0.021;3-dehydroquinate_count=1;0.053;3-dehydroquinate_count=5	7.5_count=1;8.3_count=2	None	37_count=1	None	210.0;3-dehydroquinate_count=4;310.0;3-dehydroquinate_count=5
